ENCFF162HPV.bed	ENCSR000ANP.bam	ENCFF173PCX.bed	ENCSR124VOE.bam	H1	neuralcell
ENCFF162HPV.bed	ENCSR000ANP.bam	ENCFF268FCW.bed	ENCSR013KEC.bam	H1	mesenchymalstemcell
ENCFF162HPV.bed	ENCSR000ANP.bam	ENCFF287NJM.bed	ENCSR000NPF.bam	H1	cardiacmusclecell
ENCFF162HPV.bed	ENCSR000ANP.bam	ENCFF397SDI.bed	ENCSR000ALK.bam	H1	keratinocyte
ENCFF162HPV.bed	ENCSR000ANP.bam	ENCFF407DWP.bed	ENCSR449AXO.bam	H1	neuralprogenitorcell
ENCFF162HPV.bed	ENCSR000ANP.bam	ENCFF617TNZ.bed	ENCSR000ANF.bam	H1	skeletalmusclemyoblast
ENCFF162HPV.bed	ENCSR000ANP.bam	ENCFF836QEW.bed	ENCSR726HTS.bam	H1	spleen2016
ENCFF162HPV.bed	ENCSR000ANP.bam	ENCFF892GEV.bed	ENCSR426VHO.bam	H1	spleen
ENCFF173PCX.bed	ENCSR124VOE.bam	ENCFF268FCW.bed	ENCSR013KEC.bam	neuralcell	mesenchymalstemcell
ENCFF173PCX.bed	ENCSR124VOE.bam	ENCFF287NJM.bed	ENCSR000NPF.bam	neuralcell	cardiacmusclecell
ENCFF173PCX.bed	ENCSR124VOE.bam	ENCFF397SDI.bed	ENCSR000ALK.bam	neuralcell	keratinocyte
ENCFF173PCX.bed	ENCSR124VOE.bam	ENCFF407DWP.bed	ENCSR449AXO.bam	neuralcell	neuralprogenitorcell
ENCFF173PCX.bed	ENCSR124VOE.bam	ENCFF617TNZ.bed	ENCSR000ANF.bam	neuralcell	skeletalmusclemyoblast
ENCFF173PCX.bed	ENCSR124VOE.bam	ENCFF836QEW.bed	ENCSR726HTS.bam	neuralcell	spleen2016
ENCFF173PCX.bed	ENCSR124VOE.bam	ENCFF892GEV.bed	ENCSR426VHO.bam	neuralcell	spleen
ENCFF268FCW.bed	ENCSR013KEC.bam	ENCFF287NJM.bed	ENCSR000NPF.bam	mesenchymalstemcell	cardiacmusclecell
ENCFF268FCW.bed	ENCSR013KEC.bam	ENCFF397SDI.bed	ENCSR000ALK.bam	mesenchymalstemcell	keratinocyte
ENCFF268FCW.bed	ENCSR013KEC.bam	ENCFF407DWP.bed	ENCSR449AXO.bam	mesenchymalstemcell	neuralprogenitorcell
ENCFF268FCW.bed	ENCSR013KEC.bam	ENCFF617TNZ.bed	ENCSR000ANF.bam	mesenchymalstemcell	skeletalmusclemyoblast
ENCFF268FCW.bed	ENCSR013KEC.bam	ENCFF836QEW.bed	ENCSR726HTS.bam	mesenchymalstemcell	spleen2016
ENCFF268FCW.bed	ENCSR013KEC.bam	ENCFF892GEV.bed	ENCSR426VHO.bam	mesenchymalstemcell	spleen
ENCFF287NJM.bed	ENCSR000NPF.bam	ENCFF397SDI.bed	ENCSR000ALK.bam	cardiacmusclecell	keratinocyte
ENCFF287NJM.bed	ENCSR000NPF.bam	ENCFF407DWP.bed	ENCSR449AXO.bam	cardiacmusclecell	neuralprogenitorcell
ENCFF287NJM.bed	ENCSR000NPF.bam	ENCFF617TNZ.bed	ENCSR000ANF.bam	cardiacmusclecell	skeletalmusclemyoblast
ENCFF287NJM.bed	ENCSR000NPF.bam	ENCFF836QEW.bed	ENCSR726HTS.bam	cardiacmusclecell	spleen2016
ENCFF287NJM.bed	ENCSR000NPF.bam	ENCFF892GEV.bed	ENCSR426VHO.bam	cardiacmusclecell	spleen
ENCFF397SDI.bed	ENCSR000ALK.bam	ENCFF407DWP.bed	ENCSR449AXO.bam	keratinocyte	neuralprogenitorcell
ENCFF397SDI.bed	ENCSR000ALK.bam	ENCFF617TNZ.bed	ENCSR000ANF.bam	keratinocyte	skeletalmusclemyoblast
ENCFF397SDI.bed	ENCSR000ALK.bam	ENCFF836QEW.bed	ENCSR726HTS.bam	keratinocyte	spleen2016
ENCFF397SDI.bed	ENCSR000ALK.bam	ENCFF892GEV.bed	ENCSR426VHO.bam	keratinocyte	spleen
ENCFF407DWP.bed	ENCSR449AXO.bam	ENCFF617TNZ.bed	ENCSR000ANF.bam	neuralprogenitorcell	skeletalmusclemyoblast
ENCFF407DWP.bed	ENCSR449AXO.bam	ENCFF836QEW.bed	ENCSR726HTS.bam	neuralprogenitorcell	spleen2016
ENCFF407DWP.bed	ENCSR449AXO.bam	ENCFF892GEV.bed	ENCSR426VHO.bam	neuralprogenitorcell	spleen
ENCFF617TNZ.bed	ENCSR000ANF.bam	ENCFF836QEW.bed	ENCSR726HTS.bam	skeletalmusclemyoblast	spleen2016
ENCFF617TNZ.bed	ENCSR000ANF.bam	ENCFF892GEV.bed	ENCSR426VHO.bam	skeletalmusclemyoblast	spleen
ENCFF836QEW.bed	ENCSR726HTS.bam	ENCFF892GEV.bed	ENCSR426VHO.bam	spleen2016	spleen
