ENCFF008LHE.bed	ENCSR000ANG.bam	ENCFF053EMF.bed	ENCSR139PIA.bam	skeletalmusclemyoblast	neuralprogenitorcell
ENCFF008LHE.bed	ENCSR000ANG.bam	ENCFF128WNE.bed	ENCSR506DCR.bam	skeletalmusclemyoblast	spleen
ENCFF008LHE.bed	ENCSR000ANG.bam	ENCFF289NJD.bed	ENCSR864LRY.bam	skeletalmusclemyoblast	cardiacmusclecell
ENCFF008LHE.bed	ENCSR000ANG.bam	ENCFF296RYM.bed	ENCSR000ALU.bam	skeletalmusclemyoblast	H1
ENCFF008LHE.bed	ENCSR000ANG.bam	ENCFF579OWN.bed	ENCSR161FEJ.bam	skeletalmusclemyoblast	spleen2016
ENCFF008LHE.bed	ENCSR000ANG.bam	ENCFF759ILD.bed	ENCSR832JVP.bam	skeletalmusclemyoblast	mesenchymalstemcell
ENCFF008LHE.bed	ENCSR000ANG.bam	ENCFF824ELD.bed	ENCSR654VRX.bam	skeletalmusclemyoblast	neuralcell
ENCFF053EMF.bed	ENCSR139PIA.bam	ENCFF128WNE.bed	ENCSR506DCR.bam	neuralprogenitorcell	spleen
ENCFF053EMF.bed	ENCSR139PIA.bam	ENCFF289NJD.bed	ENCSR864LRY.bam	neuralprogenitorcell	cardiacmusclecell
ENCFF053EMF.bed	ENCSR139PIA.bam	ENCFF296RYM.bed	ENCSR000ALU.bam	neuralprogenitorcell	H1
ENCFF053EMF.bed	ENCSR139PIA.bam	ENCFF579OWN.bed	ENCSR161FEJ.bam	neuralprogenitorcell	spleen2016
ENCFF053EMF.bed	ENCSR139PIA.bam	ENCFF759ILD.bed	ENCSR832JVP.bam	neuralprogenitorcell	mesenchymalstemcell
ENCFF053EMF.bed	ENCSR139PIA.bam	ENCFF824ELD.bed	ENCSR654VRX.bam	neuralprogenitorcell	neuralcell
ENCFF128WNE.bed	ENCSR506DCR.bam	ENCFF289NJD.bed	ENCSR864LRY.bam	spleen	cardiacmusclecell
ENCFF128WNE.bed	ENCSR506DCR.bam	ENCFF296RYM.bed	ENCSR000ALU.bam	spleen	H1
ENCFF128WNE.bed	ENCSR506DCR.bam	ENCFF579OWN.bed	ENCSR161FEJ.bam	spleen	spleen2016
ENCFF128WNE.bed	ENCSR506DCR.bam	ENCFF759ILD.bed	ENCSR832JVP.bam	spleen	mesenchymalstemcell
ENCFF128WNE.bed	ENCSR506DCR.bam	ENCFF824ELD.bed	ENCSR654VRX.bam	spleen	neuralcell
ENCFF289NJD.bed	ENCSR864LRY.bam	ENCFF296RYM.bed	ENCSR000ALU.bam	cardiacmusclecell	H1
ENCFF289NJD.bed	ENCSR864LRY.bam	ENCFF579OWN.bed	ENCSR161FEJ.bam	cardiacmusclecell	spleen2016
ENCFF289NJD.bed	ENCSR864LRY.bam	ENCFF759ILD.bed	ENCSR832JVP.bam	cardiacmusclecell	mesenchymalstemcell
ENCFF289NJD.bed	ENCSR864LRY.bam	ENCFF824ELD.bed	ENCSR654VRX.bam	cardiacmusclecell	neuralcell
ENCFF296RYM.bed	ENCSR000ALU.bam	ENCFF579OWN.bed	ENCSR161FEJ.bam	H1	spleen2016
ENCFF296RYM.bed	ENCSR000ALU.bam	ENCFF759ILD.bed	ENCSR832JVP.bam	H1	mesenchymalstemcell
ENCFF296RYM.bed	ENCSR000ALU.bam	ENCFF824ELD.bed	ENCSR654VRX.bam	H1	neuralcell
ENCFF579OWN.bed	ENCSR161FEJ.bam	ENCFF759ILD.bed	ENCSR832JVP.bam	spleen2016	mesenchymalstemcell
ENCFF579OWN.bed	ENCSR161FEJ.bam	ENCFF824ELD.bed	ENCSR654VRX.bam	spleen2016	neuralcell
ENCFF759ILD.bed	ENCSR832JVP.bam	ENCFF824ELD.bed	ENCSR654VRX.bam	mesenchymalstemcell	neuralcell
