ENCFF051RNB.bed	ENCSR824UNY.bam	ENCFF399ELN.bed	ENCSR407UEE.bam	mesenchymalstemcell	spleen
ENCFF051RNB.bed	ENCSR824UNY.bam	ENCFF431KQA.bed	ENCSR714KGG.bam	mesenchymalstemcell	neuralcell
ENCFF051RNB.bed	ENCSR824UNY.bam	ENCFF445HCF.bed	ENCSR994NPK.bam	mesenchymalstemcell	cardiacmusclecell
ENCFF051RNB.bed	ENCSR824UNY.bam	ENCFF452DAM.bed	ENCSR000ANH.bam	mesenchymalstemcell	skeletalmusclemyoblast
ENCFF051RNB.bed	ENCSR824UNY.bam	ENCFF574ONQ.bed	ENCSR573CWZ.bam	mesenchymalstemcell	neuralprogenitorcell
ENCFF051RNB.bed	ENCSR824UNY.bam	ENCFF813VFV.bed	ENCSR000ANB.bam	mesenchymalstemcell	H1
ENCFF051RNB.bed	ENCSR824UNY.bam	ENCFF914LOX.bed	ENCSR589TCU.bam	mesenchymalstemcell	spleen2016
ENCFF399ELN.bed	ENCSR407UEE.bam	ENCFF431KQA.bed	ENCSR714KGG.bam	spleen	neuralcell
ENCFF399ELN.bed	ENCSR407UEE.bam	ENCFF445HCF.bed	ENCSR994NPK.bam	spleen	cardiacmusclecell
ENCFF399ELN.bed	ENCSR407UEE.bam	ENCFF452DAM.bed	ENCSR000ANH.bam	spleen	skeletalmusclemyoblast
ENCFF399ELN.bed	ENCSR407UEE.bam	ENCFF574ONQ.bed	ENCSR573CWZ.bam	spleen	neuralprogenitorcell
ENCFF399ELN.bed	ENCSR407UEE.bam	ENCFF813VFV.bed	ENCSR000ANB.bam	spleen	H1
ENCFF399ELN.bed	ENCSR407UEE.bam	ENCFF914LOX.bed	ENCSR589TCU.bam	spleen	spleen2016
ENCFF431KQA.bed	ENCSR714KGG.bam	ENCFF445HCF.bed	ENCSR994NPK.bam	neuralcell	cardiacmusclecell
ENCFF431KQA.bed	ENCSR714KGG.bam	ENCFF452DAM.bed	ENCSR000ANH.bam	neuralcell	skeletalmusclemyoblast
ENCFF431KQA.bed	ENCSR714KGG.bam	ENCFF574ONQ.bed	ENCSR573CWZ.bam	neuralcell	neuralprogenitorcell
ENCFF431KQA.bed	ENCSR714KGG.bam	ENCFF813VFV.bed	ENCSR000ANB.bam	neuralcell	H1
ENCFF431KQA.bed	ENCSR714KGG.bam	ENCFF914LOX.bed	ENCSR589TCU.bam	neuralcell	spleen2016
ENCFF445HCF.bed	ENCSR994NPK.bam	ENCFF452DAM.bed	ENCSR000ANH.bam	cardiacmusclecell	skeletalmusclemyoblast
ENCFF445HCF.bed	ENCSR994NPK.bam	ENCFF574ONQ.bed	ENCSR573CWZ.bam	cardiacmusclecell	neuralprogenitorcell
ENCFF445HCF.bed	ENCSR994NPK.bam	ENCFF813VFV.bed	ENCSR000ANB.bam	cardiacmusclecell	H1
ENCFF445HCF.bed	ENCSR994NPK.bam	ENCFF914LOX.bed	ENCSR589TCU.bam	cardiacmusclecell	spleen2016
ENCFF452DAM.bed	ENCSR000ANH.bam	ENCFF574ONQ.bed	ENCSR573CWZ.bam	skeletalmusclemyoblast	neuralprogenitorcell
ENCFF452DAM.bed	ENCSR000ANH.bam	ENCFF813VFV.bed	ENCSR000ANB.bam	skeletalmusclemyoblast	H1
ENCFF452DAM.bed	ENCSR000ANH.bam	ENCFF914LOX.bed	ENCSR589TCU.bam	skeletalmusclemyoblast	spleen2016
ENCFF574ONQ.bed	ENCSR573CWZ.bam	ENCFF813VFV.bed	ENCSR000ANB.bam	neuralprogenitorcell	H1
ENCFF574ONQ.bed	ENCSR573CWZ.bam	ENCFF914LOX.bed	ENCSR589TCU.bam	neuralprogenitorcell	spleen2016
ENCFF813VFV.bed	ENCSR000ANB.bam	ENCFF914LOX.bed	ENCSR589TCU.bam	H1	spleen2016
