ENCFF105WNK.bed	ENCSR659RJP.bam	ENCFF238YJA.bed	ENCSR000ANA.bam	spleen2016	H1
ENCFF105WNK.bed	ENCSR659RJP.bam	ENCFF438JER.bed	ENCSR928BGP.bam	spleen2016	spleen
ENCFF105WNK.bed	ENCSR659RJP.bam	ENCFF477XWO.bed	ENCSR276OLB.bam	spleen2016	cardiacmusclecell
ENCFF105WNK.bed	ENCSR659RJP.bam	ENCFF668IPJ.bed	ENCSR274OIJ.bam	spleen2016	neuralprogenitorcell
ENCFF105WNK.bed	ENCSR659RJP.bam	ENCFF749BII.bed	ENCSR000ANI.bam	spleen2016	skeletalmusclemyoblast
ENCFF105WNK.bed	ENCSR659RJP.bam	ENCFF824QTN.bed	ENCSR065HOR.bam	spleen2016	mesenchymalstemcell
ENCFF238YJA.bed	ENCSR000ANA.bam	ENCFF438JER.bed	ENCSR928BGP.bam	H1	spleen
ENCFF238YJA.bed	ENCSR000ANA.bam	ENCFF477XWO.bed	ENCSR276OLB.bam	H1	cardiacmusclecell
ENCFF238YJA.bed	ENCSR000ANA.bam	ENCFF668IPJ.bed	ENCSR274OIJ.bam	H1	neuralprogenitorcell
ENCFF238YJA.bed	ENCSR000ANA.bam	ENCFF749BII.bed	ENCSR000ANI.bam	H1	skeletalmusclemyoblast
ENCFF238YJA.bed	ENCSR000ANA.bam	ENCFF824QTN.bed	ENCSR065HOR.bam	H1	mesenchymalstemcell
ENCFF438JER.bed	ENCSR928BGP.bam	ENCFF477XWO.bed	ENCSR276OLB.bam	spleen	cardiacmusclecell
ENCFF438JER.bed	ENCSR928BGP.bam	ENCFF668IPJ.bed	ENCSR274OIJ.bam	spleen	neuralprogenitorcell
ENCFF438JER.bed	ENCSR928BGP.bam	ENCFF749BII.bed	ENCSR000ANI.bam	spleen	skeletalmusclemyoblast
ENCFF438JER.bed	ENCSR928BGP.bam	ENCFF824QTN.bed	ENCSR065HOR.bam	spleen	mesenchymalstemcell
ENCFF477XWO.bed	ENCSR276OLB.bam	ENCFF668IPJ.bed	ENCSR274OIJ.bam	cardiacmusclecell	neuralprogenitorcell
ENCFF477XWO.bed	ENCSR276OLB.bam	ENCFF749BII.bed	ENCSR000ANI.bam	cardiacmusclecell	skeletalmusclemyoblast
ENCFF477XWO.bed	ENCSR276OLB.bam	ENCFF824QTN.bed	ENCSR065HOR.bam	cardiacmusclecell	mesenchymalstemcell
ENCFF668IPJ.bed	ENCSR274OIJ.bam	ENCFF749BII.bed	ENCSR000ANI.bam	neuralprogenitorcell	skeletalmusclemyoblast
ENCFF668IPJ.bed	ENCSR274OIJ.bam	ENCFF824QTN.bed	ENCSR065HOR.bam	neuralprogenitorcell	mesenchymalstemcell
ENCFF749BII.bed	ENCSR000ANI.bam	ENCFF824QTN.bed	ENCSR065HOR.bam	skeletalmusclemyoblast	mesenchymalstemcell
