ENCFF011GWS.bed	ENCSR501JET.bam	ENCFF025CSY.bed	ENCSR000DWV.bam	mesenchymalstemcell	keratinocyte
ENCFF011GWS.bed	ENCSR501JET.bam	ENCFF155USN.bed	ENCSR556QXD.bam	mesenchymalstemcell	spleen
ENCFF011GWS.bed	ENCSR501JET.bam	ENCFF450XMM.bed	ENCSR197QDK.bam	mesenchymalstemcell	spleen2016
ENCFF011GWS.bed	ENCSR501JET.bam	ENCFF456NIF.bed	ENCSR814XPE.bam	mesenchymalstemcell	H1
ENCFF011GWS.bed	ENCSR501JET.bam	ENCFF596BJF.bed	ENCSR000ANK.bam	mesenchymalstemcell	skeletalmusclemyoblast
ENCFF011GWS.bed	ENCSR501JET.bam	ENCFF801NOS.bed	ENCSR608VNA.bam	mesenchymalstemcell	neuralcell
ENCFF011GWS.bed	ENCSR501JET.bam	ENCFF865LYL.bed	ENCSR661MUS.bam	mesenchymalstemcell	neuralprogenitorcell
ENCFF011GWS.bed	ENCSR501JET.bam	ENCFF905NTT.bed	ENCSR652QNW.bam	mesenchymalstemcell	cardiacmusclecell
ENCFF025CSY.bed	ENCSR000DWV.bam	ENCFF155USN.bed	ENCSR556QXD.bam	keratinocyte	spleen
ENCFF025CSY.bed	ENCSR000DWV.bam	ENCFF450XMM.bed	ENCSR197QDK.bam	keratinocyte	spleen2016
ENCFF025CSY.bed	ENCSR000DWV.bam	ENCFF456NIF.bed	ENCSR814XPE.bam	keratinocyte	H1
ENCFF025CSY.bed	ENCSR000DWV.bam	ENCFF596BJF.bed	ENCSR000ANK.bam	keratinocyte	skeletalmusclemyoblast
ENCFF025CSY.bed	ENCSR000DWV.bam	ENCFF801NOS.bed	ENCSR608VNA.bam	keratinocyte	neuralcell
ENCFF025CSY.bed	ENCSR000DWV.bam	ENCFF865LYL.bed	ENCSR661MUS.bam	keratinocyte	neuralprogenitorcell
ENCFF025CSY.bed	ENCSR000DWV.bam	ENCFF905NTT.bed	ENCSR652QNW.bam	keratinocyte	cardiacmusclecell
ENCFF155USN.bed	ENCSR556QXD.bam	ENCFF450XMM.bed	ENCSR197QDK.bam	spleen	spleen2016
ENCFF155USN.bed	ENCSR556QXD.bam	ENCFF456NIF.bed	ENCSR814XPE.bam	spleen	H1
ENCFF155USN.bed	ENCSR556QXD.bam	ENCFF596BJF.bed	ENCSR000ANK.bam	spleen	skeletalmusclemyoblast
ENCFF155USN.bed	ENCSR556QXD.bam	ENCFF801NOS.bed	ENCSR608VNA.bam	spleen	neuralcell
ENCFF155USN.bed	ENCSR556QXD.bam	ENCFF865LYL.bed	ENCSR661MUS.bam	spleen	neuralprogenitorcell
ENCFF155USN.bed	ENCSR556QXD.bam	ENCFF905NTT.bed	ENCSR652QNW.bam	spleen	cardiacmusclecell
ENCFF450XMM.bed	ENCSR197QDK.bam	ENCFF456NIF.bed	ENCSR814XPE.bam	spleen2016	H1
ENCFF450XMM.bed	ENCSR197QDK.bam	ENCFF596BJF.bed	ENCSR000ANK.bam	spleen2016	skeletalmusclemyoblast
ENCFF450XMM.bed	ENCSR197QDK.bam	ENCFF801NOS.bed	ENCSR608VNA.bam	spleen2016	neuralcell
ENCFF450XMM.bed	ENCSR197QDK.bam	ENCFF865LYL.bed	ENCSR661MUS.bam	spleen2016	neuralprogenitorcell
ENCFF450XMM.bed	ENCSR197QDK.bam	ENCFF905NTT.bed	ENCSR652QNW.bam	spleen2016	cardiacmusclecell
ENCFF456NIF.bed	ENCSR814XPE.bam	ENCFF596BJF.bed	ENCSR000ANK.bam	H1	skeletalmusclemyoblast
ENCFF456NIF.bed	ENCSR814XPE.bam	ENCFF801NOS.bed	ENCSR608VNA.bam	H1	neuralcell
ENCFF456NIF.bed	ENCSR814XPE.bam	ENCFF865LYL.bed	ENCSR661MUS.bam	H1	neuralprogenitorcell
ENCFF456NIF.bed	ENCSR814XPE.bam	ENCFF905NTT.bed	ENCSR652QNW.bam	H1	cardiacmusclecell
ENCFF596BJF.bed	ENCSR000ANK.bam	ENCFF801NOS.bed	ENCSR608VNA.bam	skeletalmusclemyoblast	neuralcell
ENCFF596BJF.bed	ENCSR000ANK.bam	ENCFF865LYL.bed	ENCSR661MUS.bam	skeletalmusclemyoblast	neuralprogenitorcell
ENCFF596BJF.bed	ENCSR000ANK.bam	ENCFF905NTT.bed	ENCSR652QNW.bam	skeletalmusclemyoblast	cardiacmusclecell
ENCFF801NOS.bed	ENCSR608VNA.bam	ENCFF865LYL.bed	ENCSR661MUS.bam	neuralcell	neuralprogenitorcell
ENCFF801NOS.bed	ENCSR608VNA.bam	ENCFF905NTT.bed	ENCSR652QNW.bam	neuralcell	cardiacmusclecell
ENCFF865LYL.bed	ENCSR661MUS.bam	ENCFF905NTT.bed	ENCSR652QNW.bam	neuralprogenitorcell	cardiacmusclecell
