ENCFF022VRW.bed	ENCSR746CUY.bam	ENCFF164GMU.bed	ENCSR105URN.bam	mesenchymalstemcell	spleen2016
ENCFF022VRW.bed	ENCSR746CUY.bam	ENCFF621JDT.bed	ENCSR405NQJ.bam	mesenchymalstemcell	neuralcell
ENCFF022VRW.bed	ENCSR746CUY.bam	ENCFF677NKI.bed	ENCSR269ULZ.bam	mesenchymalstemcell	cardiacmusclecell
ENCFF022VRW.bed	ENCSR746CUY.bam	ENCFF706DUV.bed	ENCSR000ANR.bam	mesenchymalstemcell	skeletalmusclemyoblast
ENCFF022VRW.bed	ENCSR746CUY.bam	ENCFF719LDJ.bed	ENCSR256KTR.bam	mesenchymalstemcell	neuralprogenitorcell
ENCFF022VRW.bed	ENCSR746CUY.bam	ENCFF737VLP.bed	ENCSR000ARN.bam	mesenchymalstemcell	keratinocyte
ENCFF022VRW.bed	ENCSR746CUY.bam	ENCFF921PHI.bed	ENCSR091IRL.bam	mesenchymalstemcell	spleen
ENCFF164GMU.bed	ENCSR105URN.bam	ENCFF621JDT.bed	ENCSR405NQJ.bam	spleen2016	neuralcell
ENCFF164GMU.bed	ENCSR105URN.bam	ENCFF677NKI.bed	ENCSR269ULZ.bam	spleen2016	cardiacmusclecell
ENCFF164GMU.bed	ENCSR105URN.bam	ENCFF706DUV.bed	ENCSR000ANR.bam	spleen2016	skeletalmusclemyoblast
ENCFF164GMU.bed	ENCSR105URN.bam	ENCFF719LDJ.bed	ENCSR256KTR.bam	spleen2016	neuralprogenitorcell
ENCFF164GMU.bed	ENCSR105URN.bam	ENCFF737VLP.bed	ENCSR000ARN.bam	spleen2016	keratinocyte
ENCFF164GMU.bed	ENCSR105URN.bam	ENCFF921PHI.bed	ENCSR091IRL.bam	spleen2016	spleen
ENCFF621JDT.bed	ENCSR405NQJ.bam	ENCFF677NKI.bed	ENCSR269ULZ.bam	neuralcell	cardiacmusclecell
ENCFF621JDT.bed	ENCSR405NQJ.bam	ENCFF706DUV.bed	ENCSR000ANR.bam	neuralcell	skeletalmusclemyoblast
ENCFF621JDT.bed	ENCSR405NQJ.bam	ENCFF719LDJ.bed	ENCSR256KTR.bam	neuralcell	neuralprogenitorcell
ENCFF621JDT.bed	ENCSR405NQJ.bam	ENCFF737VLP.bed	ENCSR000ARN.bam	neuralcell	keratinocyte
ENCFF621JDT.bed	ENCSR405NQJ.bam	ENCFF921PHI.bed	ENCSR091IRL.bam	neuralcell	spleen
ENCFF677NKI.bed	ENCSR269ULZ.bam	ENCFF706DUV.bed	ENCSR000ANR.bam	cardiacmusclecell	skeletalmusclemyoblast
ENCFF677NKI.bed	ENCSR269ULZ.bam	ENCFF719LDJ.bed	ENCSR256KTR.bam	cardiacmusclecell	neuralprogenitorcell
ENCFF677NKI.bed	ENCSR269ULZ.bam	ENCFF737VLP.bed	ENCSR000ARN.bam	cardiacmusclecell	keratinocyte
ENCFF677NKI.bed	ENCSR269ULZ.bam	ENCFF921PHI.bed	ENCSR091IRL.bam	cardiacmusclecell	spleen
ENCFF706DUV.bed	ENCSR000ANR.bam	ENCFF719LDJ.bed	ENCSR256KTR.bam	skeletalmusclemyoblast	neuralprogenitorcell
ENCFF706DUV.bed	ENCSR000ANR.bam	ENCFF737VLP.bed	ENCSR000ARN.bam	skeletalmusclemyoblast	keratinocyte
ENCFF706DUV.bed	ENCSR000ANR.bam	ENCFF921PHI.bed	ENCSR091IRL.bam	skeletalmusclemyoblast	spleen
ENCFF719LDJ.bed	ENCSR256KTR.bam	ENCFF737VLP.bed	ENCSR000ARN.bam	neuralprogenitorcell	keratinocyte
ENCFF719LDJ.bed	ENCSR256KTR.bam	ENCFF921PHI.bed	ENCSR091IRL.bam	neuralprogenitorcell	spleen
ENCFF737VLP.bed	ENCSR000ARN.bam	ENCFF921PHI.bed	ENCSR091IRL.bam	keratinocyte	spleen
