File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF805WZT	bam	bam		alignments	GRCh38	ENCSR496DCY	Histone ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										H3K36me3-human	DNA						2013-07-31	Roadmap				2	2_2		50					/files/ENCFF643CGH/, /files/ENCFF659PKA/, /files/ENCFF929REJ/	599841974	ENCODE Processing Pipeline	e19ac0c984bb0520fdf0439f5d89f5bc		https://www.encodeproject.org/files/ENCFF805WZT/@@download/ENCFF805WZT.bam				released	s3://encode-public/2017/12/06/6ffbad74-eeb3-4b28-af0f-c88abe3b2cba/ENCFF805WZT.bam	control low read depth, mild to moderate bottlenecking, moderate library complexity	insufficient read depth	
ENCFF697AQU	bam	bam		alignments	GRCh38	ENCSR496DCY	Histone ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										H3K36me3-human	DNA						2013-07-31	Roadmap				1	1_1		50					/files/ENCFF590KVU/, /files/ENCFF643CGH/, /files/ENCFF037BES/	724218648	ENCODE Processing Pipeline	4571981d2ceb5016808cc268a0a86d4b		https://www.encodeproject.org/files/ENCFF697AQU/@@download/ENCFF697AQU.bam				released	s3://encode-public/2017/12/06/b7e63922-b467-4a58-91e9-c037eb2c0b41/ENCFF697AQU.bam	control low read depth, mild to moderate bottlenecking, moderate library complexity	insufficient read depth	
ENCFF748KOZ	bam	bam		alignments	GRCh38	ENCSR186OBR	Histone ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										H3K27me3-human	DNA						2013-07-31	Roadmap				1	1_1		36					/files/ENCFF643CGH/, /files/ENCFF478FWQ/	470401151	ENCODE Processing Pipeline	d6b4eee6607b4462a984332b999fae72		https://www.encodeproject.org/files/ENCFF748KOZ/@@download/ENCFF748KOZ.bam				released	s3://encode-public/2016/12/19/1325f562-1239-44aa-87c3-32a9cdbaf653/ENCFF748KOZ.bam	inconsistent platforms, low read length, mild to moderate bottlenecking	control insufficient read depth, insufficient read depth, poor library complexity	
ENCFF382GPJ	bam	bam		alignments	GRCh38	ENCSR186OBR	Histone ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										H3K27me3-human	DNA						2013-07-31	Roadmap				2	2_1		36					/files/ENCFF012CJX/, /files/ENCFF908DYY/, /files/ENCFF638SCC/, /files/ENCFF092MNN/, /files/ENCFF643CGH/	394983314	ENCODE Processing Pipeline	ea7f290d028414054919530f212f2347		https://www.encodeproject.org/files/ENCFF382GPJ/@@download/ENCFF382GPJ.bam				released	s3://encode-public/2017/02/18/b10a7f7e-6bea-4232-bd35-62c30bbd21ca/ENCFF382GPJ.bam	inconsistent platforms, low read length, mild to moderate bottlenecking	control insufficient read depth, insufficient read depth, poor library complexity	
ENCFF421AGL	bam	bam		alignments	GRCh38	ENCSR395USV	Histone ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										H3K9me3-human	DNA						2013-07-31	Roadmap				2	2_2		50					/files/ENCFF421XOC/, /files/ENCFF643CGH/, /files/ENCFF303XAI/	394156036	ENCODE Processing Pipeline	99de21a2b20fc9c569c9a9c0e13ee050		https://www.encodeproject.org/files/ENCFF421AGL/@@download/ENCFF421AGL.bam				released	s3://encode-public/2017/12/06/45cdd01e-01af-4e7f-a20c-0ce0f411b14d/ENCFF421AGL.bam	control low read depth, mild to moderate bottlenecking, mixed read lengths, moderate library complexity	insufficient read depth	
ENCFF008ALX	bam	bam		alignments	GRCh38	ENCSR395USV	Histone ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										H3K9me3-human	DNA						2013-07-31	Roadmap				1	1_1		50					/files/ENCFF832DCJ/, /files/ENCFF643CGH/, /files/ENCFF868PQG/, /files/ENCFF711AUT/, /files/ENCFF320QCI/	792927736	ENCODE Processing Pipeline	182290c1fcf66b079eb49d1a22962d3a		https://www.encodeproject.org/files/ENCFF008ALX/@@download/ENCFF008ALX.bam				released	s3://encode-public/2017/12/06/e0956845-f433-4dbd-9b37-5cb25431f951/ENCFF008ALX.bam	control low read depth, mild to moderate bottlenecking, mixed read lengths, moderate library complexity	insufficient read depth	
ENCFF295LHK	bam	bam		alignments	GRCh38	ENCSR476KTK	Histone ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										H3K36me3-human	DNA						2013-07-31	Roadmap				1	1_1		36					/files/ENCFF534HXO/, /files/ENCFF643CGH/	558822999	ENCODE Processing Pipeline	30ac51e933443d12408b9d9fc8e7da2d		https://www.encodeproject.org/files/ENCFF295LHK/@@download/ENCFF295LHK.bam				released	s3://encode-public/2016/12/19/82296e52-5d07-4d73-8280-031c821ff7f7/ENCFF295LHK.bam	low read length, mild to moderate bottlenecking, moderate library complexity	control insufficient read depth, insufficient read depth	
ENCFF603HTP	bam	bam		alignments	GRCh38	ENCSR476KTK	Histone ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										H3K36me3-human	DNA						2013-07-31	Roadmap				2	2_1		36					/files/ENCFF643CGH/, /files/ENCFF685HBP/, /files/ENCFF203VOI/, /files/ENCFF458WNH/, /files/ENCFF764IPK/, /files/ENCFF198FZX/	696100946	ENCODE Processing Pipeline	9cee1bd1fee889d2f811bc57ec15f6cb		https://www.encodeproject.org/files/ENCFF603HTP/@@download/ENCFF603HTP.bam				released	s3://encode-public/2017/02/14/02ab8ba9-921a-4e77-9246-14520b8f6ccd/ENCFF603HTP.bam	low read length, mild to moderate bottlenecking, moderate library complexity	control insufficient read depth, insufficient read depth	
ENCFF596SHE	bam	bam		alignments	GRCh38	ENCSR928HYM	Histone ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										H3K27me3-human	DNA						2013-07-31	Roadmap				1	1_2		36					/files/ENCFF137PVL/, /files/ENCFF722IIA/, /files/ENCFF643CGH/	384222743	ENCODE Processing Pipeline	2f30e8fd335bd8e1147af6dfa542cbc1		https://www.encodeproject.org/files/ENCFF596SHE/@@download/ENCFF596SHE.bam				released	s3://encode-public/2016/12/19/838fcf6b-5ef9-4a63-9a95-938ffa20eda3/ENCFF596SHE.bam	inconsistent platforms, low read length, mild to moderate bottlenecking	control insufficient read depth, insufficient read depth	
ENCFF830PVE	bam	bam		alignments	GRCh38	ENCSR928HYM	Histone ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										H3K27me3-human	DNA						2013-07-31	Roadmap				2	2_1		36					/files/ENCFF643CGH/, /files/ENCFF171DUV/	449246595	ENCODE Processing Pipeline	7ec59a3ed8bc50ac2393ed4d61382863		https://www.encodeproject.org/files/ENCFF830PVE/@@download/ENCFF830PVE.bam				released	s3://encode-public/2016/12/19/5455c4c7-c662-40ac-b70a-d6640ef506e8/ENCFF830PVE.bam	inconsistent platforms, low read length, mild to moderate bottlenecking	control insufficient read depth, insufficient read depth	
