File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF422MTS	bed narrowPeak	bed	narrowPeak	replicated peaks	GRCh38	ENCSR496DCY	Histone ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										H3K36me3-human	DNA						2013-07-31	Roadmap				1, 2	1_1, 2_2							/files/ENCFF751PLH/, /files/ENCFF858GBW/, /files/ENCFF628AZI/	2736669	ENCODE Processing Pipeline	f46116ac8d96674773d737d25c5af1ca		https://www.encodeproject.org/files/ENCFF422MTS/@@download/ENCFF422MTS.bed.gz				released	s3://encode-public/2017/12/07/5df02717-1542-4908-b12a-9df665f80888/ENCFF422MTS.bed.gz	mild to moderate bottlenecking, control low read depth, moderate library complexity	insufficient read depth	
ENCFF156RHD	bed narrowPeak	bed	narrowPeak	replicated peaks	GRCh38	ENCSR186OBR	Histone ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										H3K27me3-human	DNA						2013-07-31	Roadmap				1, 2	1_1, 2_1							/files/ENCFF067WMU/, /files/ENCFF797PRZ/, /files/ENCFF238MGM/	1155589	ENCODE Processing Pipeline	e167cb7421974dd7fdfb0b6fc0ee388e		https://www.encodeproject.org/files/ENCFF156RHD/@@download/ENCFF156RHD.bed.gz				released	s3://encode-public/2017/03/26/aa64b085-9315-4442-9c99-e2b433dc7b38/ENCFF156RHD.bed.gz	inconsistent platforms, mild to moderate bottlenecking, low read length	insufficient read depth, control insufficient read depth, poor library complexity	
ENCFF250GSY	bed narrowPeak	bed	narrowPeak	replicated peaks	GRCh38	ENCSR395USV	Histone ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										H3K9me3-human	DNA						2013-07-31	Roadmap				1, 2	1_1, 2_2							/files/ENCFF507JJA/, /files/ENCFF353XFJ/, /files/ENCFF494RSW/	2953129	ENCODE Processing Pipeline	a726cf18a507cead1f881cd2715194bc		https://www.encodeproject.org/files/ENCFF250GSY/@@download/ENCFF250GSY.bed.gz				released	s3://encode-public/2017/12/07/095ec5eb-8a4e-42c9-88cc-abb5fe394076/ENCFF250GSY.bed.gz	mild to moderate bottlenecking, control low read depth, moderate library complexity, mixed read lengths	insufficient read depth	
ENCFF093YFN	bed narrowPeak	bed	narrowPeak	replicated peaks	GRCh38	ENCSR476KTK	Histone ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										H3K36me3-human	DNA						2013-07-31	Roadmap				1, 2	1_1, 2_1							/files/ENCFF367FNY/, /files/ENCFF003AAI/, /files/ENCFF372GQT/	3756757	ENCODE Processing Pipeline	5da06df6757da36c36f5d953deade08a		https://www.encodeproject.org/files/ENCFF093YFN/@@download/ENCFF093YFN.bed.gz				released	s3://encode-public/2017/02/15/7d8eb26e-1b3a-4a83-91de-63ba54124a70/ENCFF093YFN.bed.gz	mild to moderate bottlenecking, moderate library complexity, low read length	insufficient read depth, control insufficient read depth	
ENCFF411ESN	bed narrowPeak	bed	narrowPeak	replicated peaks	GRCh38	ENCSR928HYM	Histone ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										H3K27me3-human	DNA						2013-07-31	Roadmap				1, 2	1_2, 2_1							/files/ENCFF123SZU/, /files/ENCFF408PUX/, /files/ENCFF810VGL/	870766	ENCODE Processing Pipeline	0135aad0d23c2434304d7a56bb247a00		https://www.encodeproject.org/files/ENCFF411ESN/@@download/ENCFF411ESN.bed.gz				released	s3://encode-public/2017/04/15/076a05cc-727a-446d-b276-ddf0caed980d/ENCFF411ESN.bed.gz	inconsistent platforms, mild to moderate bottlenecking, low read length	insufficient read depth, control insufficient read depth	
ENCFF694ENI	bed narrowPeak	bed	narrowPeak	replicated peaks	GRCh38	ENCSR271TFS	Histone ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										H3K4me1-human	DNA						2013-07-31	Roadmap				1, 2	1_1, 2_1							/files/ENCFF826YUF/, /files/ENCFF835TGA/, /files/ENCFF910XGS/	3292624	ENCODE Processing Pipeline	8882b18f3df46a5594984cd8f58e29d3		https://www.encodeproject.org/files/ENCFF694ENI/@@download/ENCFF694ENI.bed.gz				released	s3://encode-public/2017/02/15/8031ae84-2cb4-4403-8fda-6f0041ed48f1/ENCFF694ENI.bed.gz	inconsistent platforms, low read length	insufficient read depth, control insufficient read depth	
ENCFF999NTP	bed narrowPeak	bed	narrowPeak	replicated peaks	GRCh38	ENCSR256ESY	Histone ChIP-seq	CL:0000047	neuronal stem cell	in vitro differentiated cells	Homo sapiens										H3K36me3-human	DNA						2013-07-31	Roadmap				1, 2	1_1, 2_1							/files/ENCFF068WET/, /files/ENCFF821VJH/, /files/ENCFF680CFN/	3116692	ENCODE Processing Pipeline	88c7a1e8bc97757129cf53fa41deff39		https://www.encodeproject.org/files/ENCFF999NTP/@@download/ENCFF999NTP.bed.gz				released	s3://encode-public/2017/02/18/310a3bf9-8859-4b83-915a-52f6734d3df4/ENCFF999NTP.bed.gz	low read length	insufficient read depth, control insufficient read depth	
ENCFF493ZYQ	bed narrowPeak	bed	narrowPeak	replicated peaks	GRCh38	ENCSR004AKD	Histone ChIP-seq	CL:0000134	mesenchymal stem cell	primary cell	Homo sapiens										H3K4me3-human	DNA						2013-07-31	Roadmap				1, 2	1_1, 2_1							/files/ENCFF252GVA/, /files/ENCFF533AEW/, /files/ENCFF199DOE/	1849852	ENCODE Processing Pipeline	b8613a8e52e6bdf346900f247c4ac9c7		https://www.encodeproject.org/files/ENCFF493ZYQ/@@download/ENCFF493ZYQ.bed.gz				released	s3://encode-public/2018/01/30/ae23be1d-9b7f-4f1c-9365-4c42f2724871/ENCFF493ZYQ.bed.gz	mild to moderate bottlenecking, low read length		
ENCFF052VWO	bed narrowPeak	bed	narrowPeak	replicated peaks	GRCh38	ENCSR441SAT	Histone ChIP-seq	NTR:0000856	mesendoderm	in vitro differentiated cells	Homo sapiens										H3K4me3-human	DNA						2013-07-31	Roadmap				1, 2	1_2, 2_2							/files/ENCFF175QLH/, /files/ENCFF449WGJ/, /files/ENCFF293JHB/	803273	ENCODE Processing Pipeline	a3ee5f9e79703b7d2f8b379f0aea9caf		https://www.encodeproject.org/files/ENCFF052VWO/@@download/ENCFF052VWO.bed.gz				released	s3://encode-public/2017/02/28/79926efc-e9e6-43ce-abb7-5bd085678936/ENCFF052VWO.bed.gz	low read length		
ENCFF736WAN	bed narrowPeak	bed	narrowPeak	replicated peaks	GRCh38	ENCSR925LJZ	Histone ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										H3K36me3-human	DNA						2013-07-31	Roadmap				1, 2	1_1, 2_1							/files/ENCFF026DUL/, /files/ENCFF269STZ/, /files/ENCFF696DXL/	828134	ENCODE Processing Pipeline	be26760d8cf695b908741bf17772d5e7		https://www.encodeproject.org/files/ENCFF736WAN/@@download/ENCFF736WAN.bed.gz				released	s3://encode-public/2017/02/16/7f9f94c2-e6c9-40d0-b961-3278c1eafa6b/ENCFF736WAN.bed.gz	low read length	insufficient read depth, control insufficient read depth	
