File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF000CNF	fastq	fastq		reads		ENCSR000ALK	Histone ChIP-seq	CL:0000312	keratinocyte	primary cell	Homo sapiens										H3K27ac-human	DNA						2011-02-10	ENCODE				3	3_1	36		single-ended					204651685	Bradley Bernstein, Broad	8510513aabbaa0ad88864be6d63b0337		https://www.encodeproject.org/files/ENCFF000CNF/@@download/ENCFF000CNF.fastq.gz		Illumina Genome Analyzer IIe	/files/ENCFF000CMD/	archived	s3://encode-public/2010/11/16/b7e4d280-2c9d-405c-a8fc-0240599e7d44/ENCFF000CNF.fastq.gz	low read length	insufficient read depth, control insufficient read depth	
ENCFF000CNL	fastq	fastq		reads		ENCSR000ALK	Histone ChIP-seq	CL:0000312	keratinocyte	primary cell	Homo sapiens										H3K27ac-human	DNA						2011-02-10	ENCODE				2	2_1	36		single-ended					411204367	Bradley Bernstein, Broad	197ca1a8c3702551d8fd384272f1784e		https://www.encodeproject.org/files/ENCFF000CNL/@@download/ENCFF000CNL.fastq.gz		Illumina Genome Analyzer IIe	/files/ENCFF000CMD/	released	s3://encode-public/2010/11/16/30e9886d-0727-4a6d-b639-d8cc3caf3ddc/ENCFF000CNL.fastq.gz	low read length	insufficient read depth, control insufficient read depth	
ENCFF000CNN	fastq	fastq		reads		ENCSR000ALK	Histone ChIP-seq	CL:0000312	keratinocyte	primary cell	Homo sapiens										H3K27ac-human	DNA						2011-02-10	ENCODE				1	1_1	36		single-ended					1140565152	Bradley Bernstein, Broad	eace9922f5eaad875f32135e619fa6fc		https://www.encodeproject.org/files/ENCFF000CNN/@@download/ENCFF000CNN.fastq.gz		Illumina Genome Analyzer IIx	/files/ENCFF000CMD/	released	s3://encode-public/2010/11/16/f845132a-fe86-4ca6-bee4-da1652a7bff6/ENCFF000CNN.fastq.gz	low read length	insufficient read depth, control insufficient read depth	
ENCFF481LMR	fastq	fastq		reads		ENCSR405NQJ	Histone ChIP-seq	CL:0002319	neural cell	in vitro differentiated cells	Homo sapiens										H3K9me3-human	DNA						2016-05-03	ENCODE				1	1_1	36		single-ended					2433861169	Bradley Bernstein, Broad	baaefbded92ea183524f4175901b3102	SRA:SRR5338720	https://www.encodeproject.org/files/ENCFF481LMR/@@download/ENCFF481LMR.fastq.gz		Illumina HiSeq 2000	/files/ENCFF900DXM/, /files/ENCFF949QOX/	released	s3://encode-public/2014/12/06/4933d90c-f6e6-4deb-aa6f-1b20cc710e7e/ENCFF481LMR.fastq.gz	low read length, mixed run types, moderate library complexity, mixed read lengths, low read depth, mild to moderate bottlenecking		
ENCFF705YPK	fastq	fastq		reads		ENCSR405NQJ	Histone ChIP-seq	CL:0002319	neural cell	in vitro differentiated cells	Homo sapiens										H3K9me3-human	DNA						2016-05-03	ENCODE				2	2_1	76		paired-ended	1	/files/ENCFF846IQN/			3072412668	Bradley Bernstein, Broad	2c2bd0982c8d10d6b0466ea0f50182be	SRA:SRR5338721	https://www.encodeproject.org/files/ENCFF705YPK/@@download/ENCFF705YPK.fastq.gz		Illumina HiSeq 2500	/files/ENCFF686JJA/, /files/ENCFF688OXR/, /files/ENCFF286QYQ/, /files/ENCFF895MOG/, /files/ENCFF472ADY/, /files/ENCFF746RWX/	released	s3://encode-public/2015/12/11/cd11ffa2-f057-4b6d-98c9-7bc0e7c0d1dc/ENCFF705YPK.fastq.gz	low read length, mixed run types, moderate library complexity, inconsistent control read length, inconsistent control run_type, mixed read lengths, low read depth, mild to moderate bottlenecking		
ENCFF846IQN	fastq	fastq		reads		ENCSR405NQJ	Histone ChIP-seq	CL:0002319	neural cell	in vitro differentiated cells	Homo sapiens										H3K9me3-human	DNA						2016-05-03	ENCODE				2	2_1	76		paired-ended	2	/files/ENCFF705YPK/			2913502500	Bradley Bernstein, Broad	d5d01e7afc8c398a1479ed12865a97e9	SRA:SRR5338721	https://www.encodeproject.org/files/ENCFF846IQN/@@download/ENCFF846IQN.fastq.gz		Illumina HiSeq 2500		released	s3://encode-public/2016/01/20/9c6ed4bf-84a3-4ab9-af0a-c44b9f0f5ea3/ENCFF846IQN.fastq.gz	missing controlled_by, low read length, mixed run types, moderate library complexity, mixed read lengths, low read depth, mild to moderate bottlenecking		
ENCFF000AXJ	fastq	fastq		reads		ENCSR000ANA	Histone ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										H3K4me1-human	DNA						2011-02-10	ENCODE				1	1_1	36		single-ended					391995464	Bradley Bernstein, Broad	99f1432fab552253c37274191ecc2506		https://www.encodeproject.org/files/ENCFF000AXJ/@@download/ENCFF000AXJ.fastq.gz		Illumina Genome Analyzer IIe	/files/ENCFF036EGF/, /files/ENCFF191QXK/	released	s3://encode-public/2010/11/16/328726f8-980f-45d6-9dfd-9bdeb06a685d/ENCFF000AXJ.fastq.gz	low read length, inconsistent platforms	insufficient read depth	
ENCFF000AXM	fastq	fastq		reads		ENCSR000ANA	Histone ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										H3K4me1-human	DNA						2011-02-10	ENCODE				2	2_2	36		single-ended					850518355	Bradley Bernstein, Broad	0f037a18afebeb0d2702d4b0c6be7093		https://www.encodeproject.org/files/ENCFF000AXM/@@download/ENCFF000AXM.fastq.gz		Illumina Genome Analyzer IIx	/files/ENCFF368CYL/, /files/ENCFF763DAQ/, /files/ENCFF393KUX/, /files/ENCFF508ZFI/, /files/ENCFF472QMD/, /files/ENCFF138KKQ/, /files/ENCFF635VQA/, /files/ENCFF064XIS/, /files/ENCFF145GCJ/, /files/ENCFF303YPV/, /files/ENCFF659UFR/	released	s3://encode-public/2010/11/16/86a4645a-8f89-4ff0-afb0-f097ef1cf866/ENCFF000AXM.fastq.gz	low read length, inconsistent platforms	insufficient read depth	
ENCFF000AWX	fastq	fastq		reads		ENCSR000ALU	Histone ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										H3K27me3-human	DNA						2011-02-10	ENCODE				1	1_1	36		single-ended					248189478	Bradley Bernstein, Broad	2b5fab254339e029bc8388f120fcadd6		https://www.encodeproject.org/files/ENCFF000AWX/@@download/ENCFF000AWX.fastq.gz		Illumina Genome Analyzer IIe	/files/ENCFF036EGF/, /files/ENCFF191QXK/	released	s3://encode-public/2010/11/16/464c0310-2732-47fe-a1b7-71eb9b3b1387/ENCFF000AWX.fastq.gz	low read length, inconsistent platforms	insufficient read depth	extremely low read depth
ENCFF000AWY	fastq	fastq		reads		ENCSR000ALU	Histone ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										H3K27me3-human	DNA						2011-02-10	ENCODE				2	2_2	36		single-ended					563401500	Bradley Bernstein, Broad	55009b6188353d8ebd265a07f4c168c3		https://www.encodeproject.org/files/ENCFF000AWY/@@download/ENCFF000AWY.fastq.gz		Illumina Genome Analyzer IIe	/files/ENCFF368CYL/, /files/ENCFF763DAQ/, /files/ENCFF393KUX/, /files/ENCFF508ZFI/, /files/ENCFF472QMD/, /files/ENCFF138KKQ/, /files/ENCFF635VQA/, /files/ENCFF064XIS/, /files/ENCFF145GCJ/, /files/ENCFF303YPV/, /files/ENCFF659UFR/	released	s3://encode-public/2010/11/16/dd80ecb8-f934-44ed-8141-177674488e57/ENCFF000AWY.fastq.gz	low read length, inconsistent platforms	insufficient read depth	extremely low read depth
ENCFF773MOC	fastq	fastq		reads		ENCSR864LRY	Histone ChIP-seq	CL:0000746	cardiac muscle cell	in vitro differentiated cells	Homo sapiens										H3K27me3-human	DNA						2016-11-03	ENCODE				1	1_1	76		single-ended					1396411027	Bradley Bernstein, Broad	f2a9bb611aec84670e374d9f0fdacf15	SRA:SRR5339432	https://www.encodeproject.org/files/ENCFF773MOC/@@download/ENCFF773MOC.fastq.gz		Illumina HiSeq 2500	/files/ENCFF115PHM/, /files/ENCFF342XML/	released	s3://encode-public/2016/10/19/b74602ae-e10d-435c-8a9c-1d757bd9eb94/ENCFF773MOC.fastq.gz	control low read depth		
ENCFF138BHG	fastq	fastq		reads		ENCSR864LRY	Histone ChIP-seq	CL:0000746	cardiac muscle cell	in vitro differentiated cells	Homo sapiens										H3K27me3-human	DNA						2016-11-03	ENCODE				1	1_1	76		single-ended					757047050	Bradley Bernstein, Broad	468bca3bc122558749bd73266351eb26	SRA:SRR5339433	https://www.encodeproject.org/files/ENCFF138BHG/@@download/ENCFF138BHG.fastq.gz		Illumina HiSeq 2500	/files/ENCFF115PHM/, /files/ENCFF342XML/	released	s3://encode-public/2016/10/19/7e3196ef-d8e6-4d1e-b460-acc7c1c88569/ENCFF138BHG.fastq.gz	control low read depth		
ENCFF667KFU	fastq	fastq		reads		ENCSR864LRY	Histone ChIP-seq	CL:0000746	cardiac muscle cell	in vitro differentiated cells	Homo sapiens										H3K27me3-human	DNA						2016-11-03	ENCODE				1	1_1	76		single-ended					734860017	Bradley Bernstein, Broad	db89efcc3204803428cdd84288f84d47	SRA:SRR5339434	https://www.encodeproject.org/files/ENCFF667KFU/@@download/ENCFF667KFU.fastq.gz		Illumina HiSeq 2500	/files/ENCFF115PHM/, /files/ENCFF342XML/	released	s3://encode-public/2016/10/19/2ce333c8-6a88-4d39-8904-a8350306b407/ENCFF667KFU.fastq.gz	control low read depth		
ENCFF562HAT	fastq	fastq		reads		ENCSR864LRY	Histone ChIP-seq	CL:0000746	cardiac muscle cell	in vitro differentiated cells	Homo sapiens										H3K27me3-human	DNA						2016-11-03	ENCODE				1	1_1	76		single-ended					1381177726	Bradley Bernstein, Broad	d707f0cae29065ef48a5208efca9f25e	SRA:SRR5339435	https://www.encodeproject.org/files/ENCFF562HAT/@@download/ENCFF562HAT.fastq.gz		Illumina HiSeq 2500	/files/ENCFF115PHM/, /files/ENCFF342XML/	released	s3://encode-public/2016/10/19/3c0774b9-52f7-4099-8a8d-8a487d3d310b/ENCFF562HAT.fastq.gz	control low read depth		
ENCFF720MIH	fastq	fastq		reads		ENCSR864LRY	Histone ChIP-seq	CL:0000746	cardiac muscle cell	in vitro differentiated cells	Homo sapiens										H3K27me3-human	DNA						2016-11-03	ENCODE				2	2_1	76		single-ended					1875837258	Bradley Bernstein, Broad	6cfa2d8288e0b63703c0974b47f92fff	SRA:SRR5339430	https://www.encodeproject.org/files/ENCFF720MIH/@@download/ENCFF720MIH.fastq.gz		Illumina HiSeq 2500	/files/ENCFF064RAZ/, /files/ENCFF564EJZ/	released	s3://encode-public/2017/01/24/22cc576f-767a-4019-b239-6666efaa3ed3/ENCFF720MIH.fastq.gz	control low read depth		
ENCFF944DOY	fastq	fastq		reads		ENCSR864LRY	Histone ChIP-seq	CL:0000746	cardiac muscle cell	in vitro differentiated cells	Homo sapiens										H3K27me3-human	DNA						2016-11-03	ENCODE				2	2_1	76		single-ended					1890268945	Bradley Bernstein, Broad	975361ad402ea7afac667cc2c8ef8837	SRA:SRR5339431	https://www.encodeproject.org/files/ENCFF944DOY/@@download/ENCFF944DOY.fastq.gz		Illumina HiSeq 2500	/files/ENCFF064RAZ/, /files/ENCFF564EJZ/	released	s3://encode-public/2017/01/24/19f9d01c-8fe8-4f03-a057-36019cdb61af/ENCFF944DOY.fastq.gz	control low read depth		
ENCFF000BLI	fastq	fastq		reads		ENCSR000ANF	Histone ChIP-seq	CL:0000515	skeletal muscle myoblast	primary cell	Homo sapiens										H3K27ac-human	DNA						2011-02-10	ENCODE				1	1_1	36		single-ended					719941012	Bradley Bernstein, Broad	2efae0563b20e3b36b2067d16dedbb63		https://www.encodeproject.org/files/ENCFF000BLI/@@download/ENCFF000BLI.fastq.gz		Illumina Genome Analyzer IIe	/files/ENCFF000BKK/	released	s3://encode-public/2010/11/16/603a5ff3-bd38-4ce1-8101-e9d22a2addbb/ENCFF000BLI.fastq.gz	control low read depth, low read length	insufficient read depth	
ENCFF000BLJ	fastq	fastq		reads		ENCSR000ANF	Histone ChIP-seq	CL:0000515	skeletal muscle myoblast	primary cell	Homo sapiens										H3K27ac-human	DNA						2011-02-10	ENCODE				2	2_1	36		single-ended					682365872	Bradley Bernstein, Broad	d6e07153bec28f607710587f5ecb260c		https://www.encodeproject.org/files/ENCFF000BLJ/@@download/ENCFF000BLJ.fastq.gz		Illumina Genome Analyzer IIe	/files/ENCFF000BKI/	released	s3://encode-public/2010/11/16/d93c7e0f-b954-46c2-863c-18e89d4f4690/ENCFF000BLJ.fastq.gz	control low read depth, low read length	insufficient read depth	
ENCFF000AXG	fastq	fastq		reads		ENCSR000ANB	Histone ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										H3K36me3-human	DNA						2011-02-10	ENCODE				1	1_1	36		single-ended					805429538	Bradley Bernstein, Broad	abae462b825dcefbcb2c5815c82ed80a		https://www.encodeproject.org/files/ENCFF000AXG/@@download/ENCFF000AXG.fastq.gz		Illumina Genome Analyzer IIx	/files/ENCFF036EGF/, /files/ENCFF191QXK/	released	s3://encode-public/2010/11/16/56f7c1b8-c3cc-4af9-979a-d008e541d1f6/ENCFF000AXG.fastq.gz	low read length, inconsistent platforms	insufficient read depth	
ENCFF000AXH	fastq	fastq		reads		ENCSR000ANB	Histone ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										H3K36me3-human	DNA						2011-02-10	ENCODE				2	2_2	36		single-ended					592569613	Bradley Bernstein, Broad	f782c33179eac39082054da2f8c854ca		https://www.encodeproject.org/files/ENCFF000AXH/@@download/ENCFF000AXH.fastq.gz		Illumina Genome Analyzer IIe	/files/ENCFF368CYL/, /files/ENCFF763DAQ/, /files/ENCFF393KUX/, /files/ENCFF508ZFI/, /files/ENCFF472QMD/, /files/ENCFF138KKQ/, /files/ENCFF635VQA/, /files/ENCFF064XIS/, /files/ENCFF145GCJ/, /files/ENCFF303YPV/, /files/ENCFF659UFR/	released	s3://encode-public/2010/11/16/7ee7c027-7923-4810-b364-15159974f121/ENCFF000AXH.fastq.gz	low read length, inconsistent platforms	insufficient read depth	
ENCFF451NBT	fastq	fastq		reads		ENCSR726HTS	Histone ChIP-seq	UBERON:0002106	spleen	tissue	Homo sapiens										H3K27ac-human	DNA						2016-11-03	ENCODE				1	1_1	76		single-ended					1556944329	Bradley Bernstein, Broad	d6dcea2ba12e09abf6d36f98d5c2d858	SRA:SRR5832962	https://www.encodeproject.org/files/ENCFF451NBT/@@download/ENCFF451NBT.fastq.gz		Illumina HiSeq 2500	/files/ENCFF131OEZ/, /files/ENCFF935YMD/	released	s3://encode-public/2016/10/20/291c5161-e717-490f-9ca9-e76acb5c5751/ENCFF451NBT.fastq.gz	mild to moderate bottlenecking, inconsistent platforms		
ENCFF234GKO	fastq	fastq		reads		ENCSR726HTS	Histone ChIP-seq	UBERON:0002106	spleen	tissue	Homo sapiens										H3K27ac-human	DNA						2016-11-03	ENCODE				1	1_1	76		single-ended					1508636466	Bradley Bernstein, Broad	cf064c89d4699d4a08750fe8520cfacc	SRA:SRR5832963	https://www.encodeproject.org/files/ENCFF234GKO/@@download/ENCFF234GKO.fastq.gz		Illumina HiSeq 2500	/files/ENCFF131OEZ/, /files/ENCFF935YMD/	released	s3://encode-public/2016/10/20/b52a2ad2-1d4a-4e0a-8663-bfa47a47db07/ENCFF234GKO.fastq.gz	mild to moderate bottlenecking, inconsistent platforms		
ENCFF894ZNZ	fastq	fastq		reads		ENCSR726HTS	Histone ChIP-seq	UBERON:0002106	spleen	tissue	Homo sapiens										H3K27ac-human	DNA						2016-11-03	ENCODE				2	2_1	76		single-ended					284096067	Bradley Bernstein, Broad	a0b8a857830bf6523829a94138f9f3d6		https://www.encodeproject.org/files/ENCFF894ZNZ/@@download/ENCFF894ZNZ.fastq.gz		Illumina NextSeq 500		released	s3://encode-public/2019/07/29/3a68e9de-bfce-41ea-8b82-c7332c3e3202/ENCFF894ZNZ.fastq.gz	missing controlled_by, mild to moderate bottlenecking, inconsistent platforms		
ENCFF674BQL	fastq	fastq		reads		ENCSR726HTS	Histone ChIP-seq	UBERON:0002106	spleen	tissue	Homo sapiens										H3K27ac-human	DNA						2016-11-03	ENCODE				2	2_1	76		single-ended					292362894	Bradley Bernstein, Broad	e5636453e2d03bff6e654e4b8767e261		https://www.encodeproject.org/files/ENCFF674BQL/@@download/ENCFF674BQL.fastq.gz		Illumina NextSeq 500		released	s3://encode-public/2019/07/29/ed8a31a1-b7f8-4ae7-b0d9-3232643eba8c/ENCFF674BQL.fastq.gz	missing controlled_by, mild to moderate bottlenecking, inconsistent platforms		
