File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF832MMQ	bed narrowPeak	bed	narrowPeak	pseudo-replicated peaks	GRCh38	ENCSR955XFL	Histone ChIP-seq	UBERON:0000088	trophoblast	tissue	Homo sapiens										H3K27ac-human	DNA						2013-07-31	Roadmap				1	1_1							/files/ENCFF692GOF/	1309172	ENCODE Processing Pipeline	4c9f3ae3726666fad0f89cd190b0a9a1		https://www.encodeproject.org/files/ENCFF832MMQ/@@download/ENCFF832MMQ.bed.gz				released	s3://encode-public/2017/11/28/98560ac7-128c-4c8d-bf37-1d55907f98da/ENCFF832MMQ.bed.gz			missing antibody
ENCFF335ZGF	bed narrowPeak	bed	narrowPeak	pseudo-replicated peaks	GRCh38	ENCSR612MZB	Histone ChIP-seq	UBERON:0000088	trophoblast	tissue	Homo sapiens										H3K9me3-human	DNA						2013-07-31	Roadmap				1	1_1							/files/ENCFF055AJP/	1288367	ENCODE Processing Pipeline	63de9b33c8edfb04402658b641ed6c4d		https://www.encodeproject.org/files/ENCFF335ZGF/@@download/ENCFF335ZGF.bed.gz				released	s3://encode-public/2017/11/28/2ff3e206-92bf-4a06-8330-70311386e9f7/ENCFF335ZGF.bed.gz		insufficient read depth, control insufficient read depth	missing antibody
ENCFF408FCY	bed narrowPeak	bed	narrowPeak	replicated peaks	GRCh38	ENCSR019SQX	Histone ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										H3K4me3-human	DNA						2013-07-31	Roadmap				1, 2	1_1, 2_1							/files/ENCFF695ZZV/, /files/ENCFF229BSM/, /files/ENCFF126HHG/	808862	ENCODE Processing Pipeline	1aef12d991cbdafbbc919c4ec8a9f620		https://www.encodeproject.org/files/ENCFF408FCY/@@download/ENCFF408FCY.bed.gz				released	s3://encode-public/2017/03/26/1146f0f2-1a69-467c-8ab3-3d0a8e5d71e2/ENCFF408FCY.bed.gz	control low read depth, low read length, mixed read lengths	insufficient read depth	
ENCFF250GSY	bed narrowPeak	bed	narrowPeak	replicated peaks	GRCh38	ENCSR395USV	Histone ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										H3K9me3-human	DNA						2013-07-31	Roadmap				1, 2	1_1, 2_2							/files/ENCFF507JJA/, /files/ENCFF353XFJ/, /files/ENCFF494RSW/	2953129	ENCODE Processing Pipeline	a726cf18a507cead1f881cd2715194bc		https://www.encodeproject.org/files/ENCFF250GSY/@@download/ENCFF250GSY.bed.gz				released	s3://encode-public/2017/12/07/095ec5eb-8a4e-42c9-88cc-abb5fe394076/ENCFF250GSY.bed.gz	control low read depth, mild to moderate bottlenecking, moderate library complexity, mixed read lengths	insufficient read depth	
ENCFF145AXU	bed narrowPeak	bed	narrowPeak	pseudo-replicated peaks	GRCh38	ENCSR194TFK	Histone ChIP-seq	CL:0000223	endodermal cell	in vitro differentiated cells	Homo sapiens										H3K4me1-human	DNA						2013-07-31	Roadmap				1	1_2							/files/ENCFF270NCF/	1700849	ENCODE Processing Pipeline	66257b8482ee7a651a5065b0d36734bd		https://www.encodeproject.org/files/ENCFF145AXU/@@download/ENCFF145AXU.bed.gz				released	s3://encode-public/2018/01/26/5655c21d-d3bc-4490-b9b6-223ba359de04/ENCFF145AXU.bed.gz	low read length	insufficient read depth, control insufficient read depth	
ENCFF660ZYO	bed narrowPeak	bed	narrowPeak	pseudo-replicated peaks	GRCh38	ENCSR050SCZ	Histone ChIP-seq	UBERON:0000088	trophoblast	tissue	Homo sapiens										H3K4me1-human	DNA						2013-07-31	Roadmap				1	1_1							/files/ENCFF864MDS/	2346286	ENCODE Processing Pipeline	894c0eed43f87e3c51cd0f91bdbe2407		https://www.encodeproject.org/files/ENCFF660ZYO/@@download/ENCFF660ZYO.bed.gz				released	s3://encode-public/2017/11/28/f6fe5e68-5a0c-4cc7-b9b5-bc49c7967492/ENCFF660ZYO.bed.gz		insufficient read depth, control insufficient read depth	missing antibody
ENCFF558IKG	bed narrowPeak	bed	narrowPeak	replicated peaks	GRCh38	ENCSR631RJR	Histone ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										H3K4me1-human	DNA						2013-07-31	Roadmap				1, 2	1_1, 2_1							/files/ENCFF771DOK/, /files/ENCFF649LAW/, /files/ENCFF180RPI/	1256697	ENCODE Processing Pipeline	fde92ba19a36b3ed2e7705766b737ed0		https://www.encodeproject.org/files/ENCFF558IKG/@@download/ENCFF558IKG.bed.gz				released	s3://encode-public/2017/02/16/1715abfb-679f-47bf-9cee-10a512f78e3b/ENCFF558IKG.bed.gz	low read length, mixed read lengths	insufficient read depth, control insufficient read depth	
ENCFF288VNA	bed narrowPeak	bed	narrowPeak	pseudo-replicated peaks	GRCh38	ENCSR506QLL	Histone ChIP-seq	UBERON:0000088	trophoblast	tissue	Homo sapiens										H3K4me1-human	DNA						2013-07-31	Roadmap				1	1_1							/files/ENCFF077MOD/	1654744	ENCODE Processing Pipeline	00b4982dbcab5bb27f5b8449f00a6feb		https://www.encodeproject.org/files/ENCFF288VNA/@@download/ENCFF288VNA.bed.gz				released	s3://encode-public/2017/11/28/619bf53b-955e-4c4c-a6c6-cb6703033645/ENCFF288VNA.bed.gz		insufficient read depth, control insufficient read depth	missing antibody
ENCFF744ORJ	bed narrowPeak	bed	narrowPeak	replicated peaks	GRCh38	ENCSR003SSR	Histone ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										H3K4me3-human	DNA						2013-07-31	Roadmap				1, 2	1_1, 2_1							/files/ENCFF806VBT/, /files/ENCFF219TGT/, /files/ENCFF715VJW/	626737	ENCODE Processing Pipeline	889cbcf4b9035cadbed6412c9fb962bb		https://www.encodeproject.org/files/ENCFF744ORJ/@@download/ENCFF744ORJ.bed.gz				released	s3://encode-public/2017/12/07/d8d4a3d4-dadd-4f5c-9aea-ed41449514b4/ENCFF744ORJ.bed.gz	moderate library complexity, mild to moderate bottlenecking, mixed read lengths		extremely low read depth
ENCFF156RHD	bed narrowPeak	bed	narrowPeak	replicated peaks	GRCh38	ENCSR186OBR	Histone ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										H3K27me3-human	DNA						2013-07-31	Roadmap				1, 2	1_1, 2_1							/files/ENCFF067WMU/, /files/ENCFF797PRZ/, /files/ENCFF238MGM/	1155589	ENCODE Processing Pipeline	e167cb7421974dd7fdfb0b6fc0ee388e		https://www.encodeproject.org/files/ENCFF156RHD/@@download/ENCFF156RHD.bed.gz				released	s3://encode-public/2017/03/26/aa64b085-9315-4442-9c99-e2b433dc7b38/ENCFF156RHD.bed.gz	mild to moderate bottlenecking, low read length, inconsistent platforms	insufficient read depth, poor library complexity, control insufficient read depth	
