File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF930QEC	bam	bam		alignments	GRCh38	ENCSR000COU	polyA plus RNA-seq	EFO:0003042	H1	cell line	Homo sapiens											polyadenylated mRNA	rRNA				strand-specific	2011-10-17	ENCODE				1	1_1							/files/ENCFF000FFF/, /files/ENCFF000FEU/, /files/ENCFF742NER/	20068332956	ENCODE Processing Pipeline	b1c73c34545ea96fda24600f913307ad		https://www.encodeproject.org/files/ENCFF930QEC/@@download/ENCFF930QEC.bam	V24			released	s3://encode-public/2016/07/07/4f826d3b-be52-4945-9b4a-bf0eeb7f577d/ENCFF930QEC.bam			
ENCFF994XZH	bam	bam		alignments	GRCh38	ENCSR000COU	polyA plus RNA-seq	EFO:0003042	H1	cell line	Homo sapiens											polyadenylated mRNA	rRNA				strand-specific	2011-10-17	ENCODE				2	2_1							/files/ENCFF000FFG/, /files/ENCFF000FET/, /files/ENCFF742NER/	17865280761	ENCODE Processing Pipeline	de33128a32bf78a4055c1757aed0f35f		https://www.encodeproject.org/files/ENCFF994XZH/@@download/ENCFF994XZH.bam	V24			released	s3://encode-public/2016/07/07/53625fe8-d6de-4fe6-9bb9-9f0cbe7a8b02/ENCFF994XZH.bam			
ENCFF003XND	bam	bam		alignments	GRCh38	ENCSR000CRS	small RNA-seq	CL:0000312	keratinocyte	primary cell	Homo sapiens											RNA	rRNA				strand-specific	2012-02-22	ENCODE				1	1_1							/files/ENCFF000KCD/, /files/ENCFF426MTM/	2319328801	ENCODE Processing Pipeline	6a788d4b65d4233b0280ea26dfc6c0ec		https://www.encodeproject.org/files/ENCFF003XND/@@download/ENCFF003XND.bam	V24			released	s3://encode-public/2017/02/22/f65d4b02-1e43-4e1c-9b61-22935582abd6/ENCFF003XND.bam	low read depth	insufficient read length	
ENCFF579BCL	bam	bam		alignments	GRCh38	ENCSR000CRS	small RNA-seq	CL:0000312	keratinocyte	primary cell	Homo sapiens											RNA	rRNA				strand-specific	2012-02-22	ENCODE				2	2_1							/files/ENCFF000KCC/, /files/ENCFF426MTM/	1896980358	ENCODE Processing Pipeline	a95cce6f7f8cc0bc8575016b6914d1be		https://www.encodeproject.org/files/ENCFF579BCL/@@download/ENCFF579BCL.bam	V24			released	s3://encode-public/2017/02/22/465c7d86-40bc-4176-9ee0-e444a4ed7eb4/ENCFF579BCL.bam	low read depth	insufficient read length	
ENCFF357FGB	bam	bam		alignments	GRCh38	ENCSR000CVR	small RNA-seq	CL:0002319	neural cell	in vitro differentiated cells	Homo sapiens											RNA	rRNA				strand-specific	2012-07-09	ENCODE				1	1_1							/files/ENCFF000JEF/, /files/ENCFF426MTM/	28958483551	ENCODE Processing Pipeline	42c938ab58a5a2857bc428bc3044dff3		https://www.encodeproject.org/files/ENCFF357FGB/@@download/ENCFF357FGB.bam	V24			released	s3://encode-public/2017/02/21/921d7a20-766b-471f-ba20-20da044c4d2c/ENCFF357FGB.bam			
ENCFF881CRH	bam	bam		alignments	GRCh38	ENCSR000CVR	small RNA-seq	CL:0002319	neural cell	in vitro differentiated cells	Homo sapiens											RNA	rRNA				strand-specific	2012-07-09	ENCODE				2	2_1							/files/ENCFF000JEC/, /files/ENCFF426MTM/	32610945349	ENCODE Processing Pipeline	bc3962442e7055017b65190aa58f2fee		https://www.encodeproject.org/files/ENCFF881CRH/@@download/ENCFF881CRH.bam	V24			released	s3://encode-public/2017/02/21/9536a78c-68bc-4081-82ac-454c73a380bb/ENCFF881CRH.bam			
ENCFF326KKV	bam	bam		alignments	GRCh38	ENCSR000CRJ	small RNA-seq	EFO:0003042	H1	cell line	Homo sapiens											RNA	rRNA				strand-specific	2012-02-22	ENCODE				1	1_1							/files/ENCFF000JBP/, /files/ENCFF426MTM/	1391481794	ENCODE Processing Pipeline	1a3811caa01bb295858cf85c5d8bd497		https://www.encodeproject.org/files/ENCFF326KKV/@@download/ENCFF326KKV.bam	V24			released	s3://encode-public/2017/02/22/2a187e32-4896-48b6-8d1b-f9c031a67f8f/ENCFF326KKV.bam	low read depth	insufficient read length	
ENCFF263AWK	bam	bam		alignments	GRCh38	ENCSR000CRJ	small RNA-seq	EFO:0003042	H1	cell line	Homo sapiens											RNA	rRNA				strand-specific	2012-02-22	ENCODE				2	2_1							/files/ENCFF000JBX/, /files/ENCFF426MTM/	1404127008	ENCODE Processing Pipeline	6526fd3657b15b817c053aeb02654636		https://www.encodeproject.org/files/ENCFF263AWK/@@download/ENCFF263AWK.bam	V24			released	s3://encode-public/2017/02/22/622744ac-7a69-417c-a22d-4a21df4f3524/ENCFF263AWK.bam	low read depth	insufficient read length	
ENCFF475WLJ	bam	bam		alignments	GRCh38	ENCSR379YAE	total RNA-seq	CL:0000746	cardiac muscle cell	in vitro differentiated cells	Homo sapiens											RNA	rRNA				strand-specific	2016-01-14	ENCODE				1	1_1							/files/ENCFF197MZY/, /files/ENCFF353SPR/, /files/ENCFF742NER/	19233519570	ENCODE Processing Pipeline	3908c51540b4e36bd27a40e778e10583		https://www.encodeproject.org/files/ENCFF475WLJ/@@download/ENCFF475WLJ.bam	V24			released	s3://encode-public/2016/02/23/709a9745-a419-44f5-9f36-8c515fc7cd61/ENCFF475WLJ.bam			
ENCFF153PYZ	bam	bam		alignments	GRCh38	ENCSR379YAE	total RNA-seq	CL:0000746	cardiac muscle cell	in vitro differentiated cells	Homo sapiens											RNA	rRNA				strand-specific	2016-01-14	ENCODE				2	2_1							/files/ENCFF724FYF/, /files/ENCFF030WXU/, /files/ENCFF742NER/	16293296793	ENCODE Processing Pipeline	db58ae644f6970e62735865648433e7e		https://www.encodeproject.org/files/ENCFF153PYZ/@@download/ENCFF153PYZ.bam	V24			released	s3://encode-public/2016/02/23/1a978d35-a25b-48fb-b0f2-d3400259c8b7/ENCFF153PYZ.bam			
