File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF359YOQ	bam	bam		alignments	GRCh38	ENCSR977XUX	polyA plus RNA-seq	CL:0000047	neuronal stem cell	in vitro differentiated cells	Homo sapiens											polyadenylated mRNA					strand-specific	2013-07-31	Roadmap			200-250	1	1_1							/files/ENCFF450JES/, /files/ENCFF402BWO/, /files/ENCFF742NER/	34220399416	ENCODE Processing Pipeline	1478872c79de4312c6d22862d8348c0e		https://www.encodeproject.org/files/ENCFF359YOQ/@@download/ENCFF359YOQ.bam	V24			released	s3://encode-public/2017/11/13/b366a1b3-6d78-43ff-81cf-85a954c23dce/ENCFF359YOQ.bam			
ENCFF717MIN	bam	bam		alignments	GRCh38	ENCSR686JJB	polyA plus RNA-seq	UBERON:0001013	adipose tissue	tissue	Homo sapiens											polyadenylated mRNA					strand-specific	2013-07-31	Roadmap			200-250	1	1_1							/files/ENCFF478RBH/, /files/ENCFF358FBZ/, /files/ENCFF679PNZ/, /files/ENCFF351JWU/, /files/ENCFF914VLT/, /files/ENCFF762KJJ/, /files/ENCFF752JVU/, /files/ENCFF477DJQ/, /files/ENCFF768TUP/, /files/ENCFF182PGO/, /files/ENCFF422RPW/, /files/ENCFF250UAC/, /files/ENCFF633SGD/, /files/ENCFF319KIO/, /files/ENCFF960ZQS/, /files/ENCFF082QMH/, /files/ENCFF202CON/, /files/ENCFF725GSF/, /files/ENCFF533ZIN/, /files/ENCFF823MIJ/, /files/ENCFF070YNF/, /files/ENCFF974YOZ/, /files/ENCFF216JXJ/, /files/ENCFF310NTN/, /files/ENCFF742NER/	26236527409	ENCODE Processing Pipeline	f9769ab8c1ccf0a0bc85aecd7a88ede2		https://www.encodeproject.org/files/ENCFF717MIN/@@download/ENCFF717MIN.bam	V24			released	s3://encode-public/2017/11/17/abc6df0a-e07c-45e6-9cc0-eab16162ee9c/ENCFF717MIN.bam			
ENCFF588TQX	bam	bam		alignments	GRCh38	ENCSR825GWD	polyA plus RNA-seq	UBERON:0001159	sigmoid colon	tissue	Homo sapiens											polyadenylated mRNA					strand-specific	2013-07-31	Roadmap			200-250	1	1_12							/files/ENCFF376MMQ/, /files/ENCFF862CSD/, /files/ENCFF202KKR/, /files/ENCFF391HLX/, /files/ENCFF568AWP/, /files/ENCFF264SYO/, /files/ENCFF106JEJ/, /files/ENCFF225BAW/, /files/ENCFF957ZZN/, /files/ENCFF905FKH/, /files/ENCFF779XTM/, /files/ENCFF048PXH/, /files/ENCFF305UQC/, /files/ENCFF107MUS/, /files/ENCFF323UOZ/, /files/ENCFF796RVQ/, /files/ENCFF391LSK/, /files/ENCFF461OOV/, /files/ENCFF519GNR/, /files/ENCFF255FLP/, /files/ENCFF578DJO/, /files/ENCFF582KPC/, /files/ENCFF955XRW/, /files/ENCFF551RFQ/, /files/ENCFF742NER/	67647177007	ENCODE Processing Pipeline	ba8a462777c7816d97d39276be7d2b28		https://www.encodeproject.org/files/ENCFF588TQX/@@download/ENCFF588TQX.bam	V24			released	s3://encode-public/2017/11/13/c1b8aa8f-f736-4817-b33a-33ed0f7ea4b6/ENCFF588TQX.bam			
ENCFF268XDH	bam	bam		alignments	GRCh38	ENCSR721HDG	polyA plus RNA-seq	UBERON:0000945	stomach	tissue	Homo sapiens											polyadenylated mRNA					strand-specific	2013-07-31	Roadmap			200-250	1	1_1							/files/ENCFF678MWI/, /files/ENCFF428RFC/, /files/ENCFF196VAS/, /files/ENCFF730UHH/, /files/ENCFF971BLR/, /files/ENCFF728SAH/, /files/ENCFF698AHZ/, /files/ENCFF809YRZ/, /files/ENCFF742NER/	54244066992	ENCODE Processing Pipeline	59328eac4ef2b267041d8632ab41b092		https://www.encodeproject.org/files/ENCFF268XDH/@@download/ENCFF268XDH.bam	V24			released	s3://encode-public/2017/11/17/772982c7-dde3-4c63-97bb-40431e264c11/ENCFF268XDH.bam			
ENCFF081DYZ	bam	bam		alignments	GRCh38	ENCSR763NOO	polyA plus RNA-seq	UBERON:0000947	aorta	tissue	Homo sapiens											polyadenylated mRNA					strand-specific	2013-07-31	Roadmap			200-250	1	1_2							/files/ENCFF106VHC/, /files/ENCFF118ATX/, /files/ENCFF287PMT/, /files/ENCFF096NUX/, /files/ENCFF976YGF/, /files/ENCFF469TWB/, /files/ENCFF180HLM/, /files/ENCFF577VHI/, /files/ENCFF966VSO/, /files/ENCFF961CFO/, /files/ENCFF649JJW/, /files/ENCFF949VVE/, /files/ENCFF529MPR/, /files/ENCFF630TOA/, /files/ENCFF319EMD/, /files/ENCFF816UXX/, /files/ENCFF742NER/	59569164559	ENCODE Processing Pipeline	3b6acf7b997fde9692d98ee25597e8cf		https://www.encodeproject.org/files/ENCFF081DYZ/@@download/ENCFF081DYZ.bam	V24			released	s3://encode-public/2017/11/17/7df31cf3-06ae-4cb9-bd3a-d0c6c7ce2bfa/ENCFF081DYZ.bam			
ENCFF199EFU	bam	bam		alignments	GRCh38	ENCSR629VMZ	polyA plus RNA-seq	UBERON:0001264	pancreas	tissue	Homo sapiens											polyadenylated mRNA					strand-specific	2013-07-31	Roadmap			200-250	1	1_1							/files/ENCFF337XAP/, /files/ENCFF829FFZ/, /files/ENCFF581GND/, /files/ENCFF875NZW/, /files/ENCFF736AFY/, /files/ENCFF355OFT/, /files/ENCFF709KHC/, /files/ENCFF966KGD/, /files/ENCFF247BOT/, /files/ENCFF372KMS/, /files/ENCFF425ZEU/, /files/ENCFF048IKI/, /files/ENCFF742NER/	65684987934	ENCODE Processing Pipeline	8ae2d00d54cf28b180efc8177406c72e		https://www.encodeproject.org/files/ENCFF199EFU/@@download/ENCFF199EFU.bam	V24			released	s3://encode-public/2017/11/17/22576a2f-21b7-4321-be81-55ee0ad7e413/ENCFF199EFU.bam			
ENCFF746WLK	bam	bam		alignments	GRCh38	ENCSR944FLL	polyA plus RNA-seq	CL:0000625	CD8-positive, alpha-beta T cell	primary cell	Homo sapiens											polyadenylated mRNA						2013-07-31	Roadmap			120-200	1	1_1							/files/ENCFF214MGP/, /files/ENCFF158OUQ/, /files/ENCFF742NER/	17122298538	ENCODE Processing Pipeline	5d0cfa65c943e99ab8ec95dafe668b2d		https://www.encodeproject.org/files/ENCFF746WLK/@@download/ENCFF746WLK.bam	V24			released	s3://encode-public/2017/05/11/78fb2882-f6b6-4797-b387-a15399931ff8/ENCFF746WLK.bam			
ENCFF740OFO	bam	bam		alignments	GRCh38	ENCSR043RSE	polyA plus RNA-seq	EFO:0003042	H1	cell line	Homo sapiens											polyadenylated mRNA					strand-specific	2013-07-31	Roadmap			200-250	1	1_1							/files/ENCFF346WNU/, /files/ENCFF953ZDW/, /files/ENCFF742NER/	35920359912	ENCODE Processing Pipeline	e7b69391574e2ba02e6e2ee387e272f7		https://www.encodeproject.org/files/ENCFF740OFO/@@download/ENCFF740OFO.bam	V24			released	s3://encode-public/2017/11/13/1d8a6aed-eca7-4429-a16c-7234e69e3fab/ENCFF740OFO.bam			
ENCFF441FVJ	bam	bam		alignments	GRCh38	ENCSR993QGR	polyA plus RNA-seq	UBERON:0001043	esophagus	tissue	Homo sapiens											polyadenylated mRNA					strand-specific	2013-07-31	Roadmap			200-250	1	1_1							/files/ENCFF394DBA/, /files/ENCFF234WGM/, /files/ENCFF368WGX/, /files/ENCFF859VDE/, /files/ENCFF734VXZ/, /files/ENCFF995WBN/, /files/ENCFF740JKN/, /files/ENCFF117OPV/, /files/ENCFF074AOZ/, /files/ENCFF712ZUE/, /files/ENCFF873AXE/, /files/ENCFF766ARG/, /files/ENCFF809UYV/, /files/ENCFF273QZK/, /files/ENCFF922PXD/, /files/ENCFF377NCB/, /files/ENCFF305QYJ/, /files/ENCFF740FWP/, /files/ENCFF726LSJ/, /files/ENCFF915SSH/, /files/ENCFF775MWH/, /files/ENCFF604FUE/, /files/ENCFF755DPU/, /files/ENCFF940SPN/, /files/ENCFF742NER/	47792883610	ENCODE Processing Pipeline	b06943b31a24ed3e202f53271f88179c		https://www.encodeproject.org/files/ENCFF441FVJ/@@download/ENCFF441FVJ.bam	V24			released	s3://encode-public/2017/11/17/4cb0191c-693f-4355-8aaf-e5d2d3425022/ENCFF441FVJ.bam			
ENCFF738KXI	bam	bam		alignments	GRCh38	ENCSR700BEW	polyA plus RNA-seq	NTR:0000856	mesendoderm	in vitro differentiated cells	Homo sapiens											polyadenylated mRNA					strand-specific	2013-07-31	Roadmap			200-250	1	1_1							/files/ENCFF163NEC/, /files/ENCFF771WAJ/, /files/ENCFF742NER/	36876055054	ENCODE Processing Pipeline	382c4132ecca987809c527368b12850f		https://www.encodeproject.org/files/ENCFF738KXI/@@download/ENCFF738KXI.bam	V24			released	s3://encode-public/2017/11/13/9d517321-e157-4df6-952e-d44c810572b0/ENCFF738KXI.bam			
ENCFF011JJG	bam	bam		alignments	GRCh38	ENCSR663WGC	polyA plus RNA-seq	CL:0000134	mesenchymal stem cell	in vitro differentiated cells	Homo sapiens											polyadenylated mRNA					strand-specific	2013-07-31	Roadmap			200-250	1	1_1							/files/ENCFF094XOG/, /files/ENCFF608QEG/, /files/ENCFF742NER/	34281568810	ENCODE Processing Pipeline	3b5343d29b9eea2b1d46919c699df36e		https://www.encodeproject.org/files/ENCFF011JJG/@@download/ENCFF011JJG.bam	V24			released	s3://encode-public/2017/11/13/dd0c6905-1dcf-4a9d-bfa8-bca27f7758f8/ENCFF011JJG.bam			
