File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF193XIP	fastq	fastq		reads		ENCSR828LSC	small RNA-seq	CL:0011020	neural progenitor cell	in vitro differentiated cells	Homo sapiens											RNA	rRNA				strand-specific	2015-01-08	ENCODE				1	1_1	101		single-ended					5338740417	Thomas Gingeras, CSHL	acb5f39fecd69b415815e1bddc24be73	SRA:SRR3192244	https://www.encodeproject.org/files/ENCFF193XIP/@@download/ENCFF193XIP.fastq.gz		Illumina HiSeq 2000		released	s3://encode-public/2014/12/13/65bf431e-c42f-40c8-8eb9-596124565e5b/ENCFF193XIP.fastq.gz			
ENCFF994BMY	fastq	fastq		reads		ENCSR828LSC	small RNA-seq	CL:0011020	neural progenitor cell	in vitro differentiated cells	Homo sapiens											RNA	rRNA				strand-specific	2015-01-08	ENCODE				2	2_1	101		single-ended					5441841885	Thomas Gingeras, CSHL	394bf5f57b1b455531dd2df4fdaa0fad	SRA:SRR3192243	https://www.encodeproject.org/files/ENCFF994BMY/@@download/ENCFF994BMY.fastq.gz		Illumina HiSeq 2000		released	s3://encode-public/2014/12/14/db3fcaff-cc2e-4370-9673-9c5e036bb807/ENCFF994BMY.fastq.gz			
ENCFF002DMH	fastq	fastq		reads		ENCSR444WHQ	total RNA-seq	CL:0000515	skeletal muscle myoblast	primary cell	Homo sapiens											RNA	rRNA				strand-specific	2014-06-30	ENCODE				2	2_1	101		paired-ended	1	/files/ENCFF002DMI/			7014176997	Thomas Gingeras, CSHL	25c0458fd577efaefedabd67336ea30a	SRA:SRR3192611	https://www.encodeproject.org/files/ENCFF002DMH/@@download/ENCFF002DMH.fastq.gz		Illumina HiSeq 2000		released	s3://encode-public/2014/06/18/b83aa887-4f09-43f6-b03c-9570296f2424/ENCFF002DMH.fastq.gz			
ENCFF002DMI	fastq	fastq		reads		ENCSR444WHQ	total RNA-seq	CL:0000515	skeletal muscle myoblast	primary cell	Homo sapiens											RNA	rRNA				strand-specific	2014-06-30	ENCODE				2	2_1	101		paired-ended	2	/files/ENCFF002DMH/			6982333502	Thomas Gingeras, CSHL	6df0875ef30e3bfeece1cec6ad4bdae9	SRA:SRR3192611	https://www.encodeproject.org/files/ENCFF002DMI/@@download/ENCFF002DMI.fastq.gz		Illumina HiSeq 2000		released	s3://encode-public/2014/06/18/db21b643-fee7-43eb-bdcf-79c2be6d9645/ENCFF002DMI.fastq.gz			
ENCFF002DML	fastq	fastq		reads		ENCSR444WHQ	total RNA-seq	CL:0000515	skeletal muscle myoblast	primary cell	Homo sapiens											RNA	rRNA				strand-specific	2014-06-30	ENCODE				1	1_1	101		paired-ended	1	/files/ENCFF002DMM/			8943687100	Thomas Gingeras, CSHL	654c8a230848ccab646d582c7c315fac	SRA:SRR3192610	https://www.encodeproject.org/files/ENCFF002DML/@@download/ENCFF002DML.fastq.gz		Illumina HiSeq 2000		released	s3://encode-public/2014/06/18/1c02c18c-7ec4-4769-afb3-b97f4a66b57c/ENCFF002DML.fastq.gz			
ENCFF002DMM	fastq	fastq		reads		ENCSR444WHQ	total RNA-seq	CL:0000515	skeletal muscle myoblast	primary cell	Homo sapiens											RNA	rRNA				strand-specific	2014-06-30	ENCODE				1	1_1	101		paired-ended	2	/files/ENCFF002DML/			8921298431	Thomas Gingeras, CSHL	f6b1d9ed7a4166414e1a77f511da8a5c	SRA:SRR3192610	https://www.encodeproject.org/files/ENCFF002DMM/@@download/ENCFF002DMM.fastq.gz		Illumina HiSeq 2000		released	s3://encode-public/2014/06/18/2d303d05-68fe-43b2-80f2-a8a77968e727/ENCFF002DMM.fastq.gz			
ENCFF726PAY	fastq	fastq		reads		ENCSR244ISQ	total RNA-seq	CL:0011020	neural progenitor cell	in vitro differentiated cells	Homo sapiens											RNA	rRNA				strand-specific	2015-01-08	ENCODE				2	2_1	101		paired-ended	2	/files/ENCFF996KMK/			8458571012	Thomas Gingeras, CSHL	cc93508afec2c9e3070a675a6b4351cf	SRA:SRR3192584	https://www.encodeproject.org/files/ENCFF726PAY/@@download/ENCFF726PAY.fastq.gz		Illumina HiSeq 2000	/files/ENCFF001RTP/	released	s3://encode-public/2014/12/13/3120d4bc-b06f-428b-980f-3dfd58338b55/ENCFF726PAY.fastq.gz	low replicate concordance		
ENCFF996KMK	fastq	fastq		reads		ENCSR244ISQ	total RNA-seq	CL:0011020	neural progenitor cell	in vitro differentiated cells	Homo sapiens											RNA	rRNA				strand-specific	2015-01-08	ENCODE				2	2_1	101		paired-ended	1	/files/ENCFF726PAY/			8387780975	Thomas Gingeras, CSHL	b3d829a77a28456e82656472956f66ae	SRA:SRR3192584	https://www.encodeproject.org/files/ENCFF996KMK/@@download/ENCFF996KMK.fastq.gz		Illumina HiSeq 2000	/files/ENCFF001RTP/	released	s3://encode-public/2014/12/13/338004bc-3c4d-42a8-bf55-0f0a752bc983/ENCFF996KMK.fastq.gz	low replicate concordance		
ENCFF939FVE	fastq	fastq		reads		ENCSR244ISQ	total RNA-seq	CL:0011020	neural progenitor cell	in vitro differentiated cells	Homo sapiens											RNA	rRNA				strand-specific	2015-01-08	ENCODE				1	1_1	101		paired-ended	1	/files/ENCFF201WLO/			8427042524	Thomas Gingeras, CSHL	79216526fc3f1bf0f416cc6c68b575a0	SRA:SRR3192585	https://www.encodeproject.org/files/ENCFF939FVE/@@download/ENCFF939FVE.fastq.gz		Illumina HiSeq 2000	/files/ENCFF001RTP/	released	s3://encode-public/2014/12/13/da357ea2-013f-47da-a20f-72179452f13c/ENCFF939FVE.fastq.gz	low replicate concordance		
ENCFF201WLO	fastq	fastq		reads		ENCSR244ISQ	total RNA-seq	CL:0011020	neural progenitor cell	in vitro differentiated cells	Homo sapiens											RNA	rRNA				strand-specific	2015-01-08	ENCODE				1	1_1	101		paired-ended	2	/files/ENCFF939FVE/			8478309287	Thomas Gingeras, CSHL	c8f8d6678ff985fa4cb41f51a534ce80	SRA:SRR3192585	https://www.encodeproject.org/files/ENCFF201WLO/@@download/ENCFF201WLO.fastq.gz		Illumina HiSeq 2000	/files/ENCFF001RTP/	released	s3://encode-public/2014/12/13/30f60d22-a2eb-4711-b2a3-601dc6699760/ENCFF201WLO.fastq.gz	low replicate concordance		
