"","groupID","featureID"
"A1BG:E001","A1BG","E001"
"A1BG:E002","A1BG","E002"
"A1BG:E003","A1BG","E003"
"A1BG:E004","A1BG","E004"
"A1BG:E005","A1BG","E005"
"A1BG:E006","A1BG","E006"
"A1BG:E007","A1BG","E007"
"A1BG:E008","A1BG","E008"
"A2M:E001","A2M","E001"
"A2M:E002","A2M","E002"
"A2M:E003","A2M","E003"
"A2M:E004","A2M","E004"
"A2M:E005","A2M","E005"
"A2M:E006","A2M","E006"
"A2M:E007","A2M","E007"
"A2M:E008","A2M","E008"
"A2M:E009","A2M","E009"
"A2M:E010","A2M","E010"
"A2M:E011","A2M","E011"
"A2M:E012","A2M","E012"
"A2M:E013","A2M","E013"
"A2M:E014","A2M","E014"
"A2M:E015","A2M","E015"
"A2M:E016","A2M","E016"
"A2M:E017","A2M","E017"
"A2M:E018","A2M","E018"
"A2M:E019","A2M","E019"
"A2M:E020","A2M","E020"
"A2M:E021","A2M","E021"
"A2M:E022","A2M","E022"
"A2M:E023","A2M","E023"
"A2M:E024","A2M","E024"
"A2M:E025","A2M","E025"
"A2M:E026","A2M","E026"
"A2M:E027","A2M","E027"
"A2M:E028","A2M","E028"
"A2M:E029","A2M","E029"
"A2M:E030","A2M","E030"
"A2M:E031","A2M","E031"
"A2M:E032","A2M","E032"
"A2M:E033","A2M","E033"
"A2M:E034","A2M","E034"
"A2M:E035","A2M","E035"
"A2M:E036","A2M","E036"
"A2M:E037","A2M","E037"
"A2M:E038","A2M","E038"
"A2M:E039","A2M","E039"
"A2M:E040","A2M","E040"
"A2M:E041","A2M","E041"
"AAGAB:E002","AAGAB","E002"
"AAGAB:E003","AAGAB","E003"
"AAGAB:E004","AAGAB","E004"
"AAGAB:E007","AAGAB","E007"
"AAGAB:E008","AAGAB","E008"
"AAGAB:E009","AAGAB","E009"
"AAGAB:E010","AAGAB","E010"
"AAGAB:E011","AAGAB","E011"
"AAGAB:E012","AAGAB","E012"
"AAGAB:E013","AAGAB","E013"
"AAGAB:E014","AAGAB","E014"
"AAGAB:E015","AAGAB","E015"
"AAGAB:E016","AAGAB","E016"
"AAGAB:E017","AAGAB","E017"
"AAGAB:E018","AAGAB","E018"
"AAMDC:E001","AAMDC","E001"
"AAMDC:E002","AAMDC","E002"
"AAMDC:E003","AAMDC","E003"
"AAMDC:E004","AAMDC","E004"
"AAMDC:E005","AAMDC","E005"
