Epigenome;Potency;Type;Origin;Life stage
adiposetissue;Differentiated;Tissue;Mesoderm;Adult
aorta;Differentiated;Tissue;Mesoderm;Adult
CD4positivealphabetaTcell;Differentiated;Primary cell;Mesoderm;Adult
CD8positivealphabetaTcell;Differentiated;Primary cell;Mesoderm;Adult
ectodermalcell;Multipotent;In vitro differentiated cell;Embryonic cell;Embryo
endodermalcell;Multipotent;In vitro differentiated cell;Embryonic cell;Embryo
esophagus;Differentiated;Tissue;Endoderm;Adult
H1;Pluripotent;Cell line;Embryonic cell;Embryo
mesenchymalstemcell;Multipotent;In vitro differentiated cell;Mesoderm;Embryo
mesendoderm;Multipotent;In vitro differentiated cell;Embryonic cell;Embryo
mesodermalcell;Multipotent;In vitro differentiated cell;Embryonic cell;Embryo
neuronalstemcell;Multipotent;In vitro differentiated cell;Ectoderm;Embryo
pancreas;Differentiated;Tissue;Endoderm;Adult
psoasmuscle;Differentiated;Tissue;Mesoderm;Adult
sigmoidcolon;Differentiated;Tissue;Mesoderm;Adult
smallintestine;Differentiated;Tissue;Endoderm;Adult
spleen;Differentiated;Tissue;Mesoderm;Adult
stomach;Differentiated;Tissue;Endoderm;Adult
trophoblastcell;Multipotent;In vitro differentiated cell;Embryonic cell;Embryo
