chr	strand	gene
chr1	+	OR4F5
chr1	-	LOC112268260
chr1	-	OR4F29
chr1	-	LOC105378947
chr1	-	OR4F16
chr1	+	SAMD11
chr1	-	NOC2L
chr1	+	KLHL17
chr1	+	PLEKHN1
chr1	-	PERM1
chr1	-	HES4
chr1	+	ISG15
chr1	+	AGRN
chr1	-	RNF223
chr1	-	C1orf159
chr1	+	TTLL10
chr1	-	TNFRSF18
chr1	-	TNFRSF4
chr1	-	SDF4
chr1	+	B3GALT6
chr1	-	C1QTNF12
chr1	-	UBE2J2
chr1	+	SCNN1D
chr1	-	ACAP3
chr1	+	PUSL1
chr1	-	INTS11
chr1	+	CPTP
chr1	+	TAS1R3
chr1	-	DVL1
chr1	-	MXRA8
chr1	-	AURKAIP1
chr1	-	CCNL2
chr1	-	MRPL20
chr1	-	ANKRD65
chr1	+	TMEM88B
chr1	+	LOC107985729
chr1	+	VWA1
chr1	+	ATAD3C
chr1	+	ATAD3B
chr1	+	ATAD3A
chr1	-	TMEM240
chr1	-	SSU72
chr1	-	FNDC10
chr1	+	MIB2
chr1	+	MMP23B
chr1	-	CDK11B
chr1	-	SLC35E2B
chr1	-	CDK11A
chr1	-	SLC35E2A
chr1	-	NADK
chr1	-	GNB1
chr1	+	CALML6
chr1	-	TMEM52
chr1	-	CFAP74
chr1	+	GABRD
chr1	+	PRKCZ
chr1	-	FAAP20
chr1	+	SKI
chr1	-	MORN1
chr1	+	RER1
chr1	-	PEX10
chr1	+	PLCH2
chr1	-	PANK4
chr1	-	HES5
chr1	+	TNFRSF14
chr1	+	PRXL2B
chr1	-	MMEL1
chr1	-	TTC34
chr1	+	ACTRT2
chr1	+	PRDM16
chr1	+	ARHGEF16
chr1	-	MEGF6
chr1	+	TPRG1L
chr1	-	WRAP73
chr1	+	TP73
chr1	+	CCDC27
chr1	+	SMIM1
chr1	-	LRRC47
chr1	-	CEP104
chr1	+	DFFB
chr1	-	C1orf174
chr1	+	AJAP1
chr1	-	NPHP4
chr1	+	KCNAB2
chr1	-	CHD5
chr1	-	RPL22
chr1	+	RNF207
chr1	-	ICMT
chr1	+	HES3
chr1	-	GPR153
chr1	-	ACOT7
chr1	-	HES2
chr1	+	ESPN
chr1	-	TNFRSF25+PLEKHG5
chr1	-	NOL9
chr1	+	TAS1R1
chr1	+	ZBTB48
chr1	-	KLHL21
chr1	+	PHF13
chr1	+	THAP3
chr1	-	DNAJC11
chr1	+	CAMTA1
chr1	+	VAMP3
chr1	+	PER3
chr1	-	UTS2
chr1	-	TNFRSF9
chr1	+	PARK7
chr1	-	ERRFI1
chr1	+	SLC45A1
chr1	-	RERE
chr1	-	ENO1
chr1	+	CA6
chr1	-	SLC2A7
chr1	-	SLC2A5
chr1	-	GPR157
chr1	+	H6PD
chr1	+	SPSB1
chr1	+	SLC25A33
chr1	+	TMEM201
chr1	+	PIK3CD
chr1	-	CLSTN1
chr1	-	CTNNBIP1
chr1	-	LZIC
chr1	+	NMNAT1
chr1	+	RBP7
chr1	+	UBE4B
chr1	+	KIF1B
chr1	+	PGD
chr1	+	CENPS+CORT+CENPS-CORT
chr1	-	DFFA
chr1	+	PEX14
chr1	-	CASZ1
chr1	-	C1orf127
chr1	+	TARDBP
chr1	-	MASP2
chr1	-	SRM
chr1	-	EXOSC10
chr1	-	MTOR
chr1	+	ANGPTL7
chr1	+	UBIAD1
chr1	+	DISP3
chr1	-	FBXO2
chr1	+	FBXO44
chr1	+	FBXO6
chr1	-	MAD2L2
chr1	+	DRAXIN
chr1	+	AGTRAP
chr1	+	C1orf167
chr1	-	MTHFR
chr1	+	CLCN6
chr1	-	NPPA
chr1	-	NPPB
chr1	-	KIAA2013
chr1	+	PLOD1
chr1	+	MFN2
chr1	+	MIIP
chr1	+	TNFRSF8
chr1	+	TNFRSF1B
chr1	+	VPS13D
chr1	-	DHRS3
chr1	+	AADACL4
chr1	+	AADACL3
chr1	+	C1orf158
chr1	+	PRAMEF12
chr1	+	PRAMEF1
chr1	-	PRAMEF11
chr1	-	HNRNPCL1
chr1	+	PRAMEF2
chr1	-	PRAMEF4
chr1	-	PRAMEF10
chr1	+	PRAMEF7
chr1	-	PRAMEF6
chr1	-	PRAMEF27
chr1	+	HNRNPCL3
chr1	+	PRAMEF25
chr1	-	HNRNPCL2
chr1	-	PRAMEF26
chr1	-	HNRNPCL4
chr1	+	PRAMEF9
chr1	-	PRAMEF13
chr1	-	PRAMEF18
chr1	+	PRAMEF5
chr1	-	PRAMEF8
chr1	+	PRAMEF33
chr1	+	PRAMEF15
chr1	-	PRAMEF14
chr1	-	PRAMEF19
chr1	+	PRAMEF17
chr1	+	PRAMEF20
chr1	-	LRRC38
chr1	+	PDPN
chr1	+	PRDM2
chr1	+	KAZN
chr1	+	TMEM51
chr1	+	FHAD1
chr1	+	EFHD2
chr1	+	CTRC
chr1	+	CELA2A
chr1	+	CELA2B
chr1	-	CASP9
chr1	+	DNAJC16
chr1	-	AGMAT
chr1	+	DDI2+RSC1A1
chr1	+	PLEKHM2
chr1	+	SLC25A34
chr1	+	TMEM82
chr1	+	FBLIM1
chr1	-	UQCRHL
chr1	+	SPEN
chr1	-	ZBTB17
chr1	+	SRARP
chr1	-	HSPB7
chr1	+	CLCNKA
chr1	+	CLCNKB
chr1	-	FAM131C
chr1	-	EPHA2
chr1	-	ARHGEF19
chr1	-	CPLANE2
chr1	-	FBXO42
chr1	+	SZRD1
chr1	-	SPATA21
chr1	+	NECAP2
chr1	-	NBPF1
chr1	-	MST1L
chr1	+	CROCC
chr1	-	MFAP2
chr1	-	ATP13A2
chr1	-	SDHB
chr1	-	PADI2
chr1	+	PADI1
chr1	+	PADI3
chr1	+	PADI4
chr1	+	PADI6
chr1	-	RCC2
